step_idx	elapsed_s	attempted	trigger	planner_rebuilt	previous_path_points	raw_path_points	follow_path_points	status
131	38.283	0	none	0	676	0	676	not_attempted
132	38.593	0	none	0	676	0	676	not_attempted
133	38.870	0	none	0	676	0	676	not_attempted
134	39.148	0	none	0	676	0	676	not_attempted
135	39.425	0	none	0	676	0	676	not_attempted
136	39.703	0	none	0	676	0	676	not_attempted
137	39.977	0	none	0	676	0	676	not_attempted
138	40.254	0	none	0	676	0	676	not_attempted
139	40.580	0	none	0	676	0	676	not_attempted
140	40.858	0	none	0	676	0	676	not_attempted
141	41.146	0	none	0	676	0	676	not_attempted
142	41.456	0	none	0	676	0	676	not_attempted
143	41.748	0	none	0	676	0	676	not_attempted
144	42.029	0	none	0	676	0	676	not_attempted
145	42.310	0	none	0	676	0	676	not_attempted
146	42.585	0	none	0	676	0	676	not_attempted
147	42.859	0	none	0	676	0	676	not_attempted
148	43.132	0	none	0	676	0	676	not_attempted
149	43.512	0	none	0	676	0	676	not_attempted
150	43.831	0	none	0	676	0	676	not_attempted
151	44.129	0	none	0	676	0	676	not_attempted
152	44.410	0	none	0	676	0	676	not_attempted
153	44.697	0	none	0	676	0	676	not_attempted
154	44.984	0	none	0	676	0	676	not_attempted
155	45.259	0	none	0	676	0	676	not_attempted
156	45.548	0	none	0	676	0	676	not_attempted
157	45.824	0	none	0	676	0	676	not_attempted
158	46.114	0	none	0	676	0	676	not_attempted
159	46.392	0	none	0	676	0	676	not_attempted
160	46.708	0	none	0	676	0	676	not_attempted
161	46.987	0	none	0	676	0	676	not_attempted
162	47.271	0	none	0	676	0	676	not_attempted
163	47.551	0	none	0	676	0	676	not_attempted
164	47.844	0	none	0	676	0	676	not_attempted
165	48.120	0	none	0	676	0	676	not_attempted
166	48.398	0	none	0	676	0	676	not_attempted
167	48.685	0	none	0	676	0	676	not_attempted
168	48.967	0	none	0	676	0	676	not_attempted
169	49.241	0	none	0	676	0	676	not_attempted
170	49.513	0	none	0	676	0	676	not_attempted
171	49.790	0	none	0	676	0	676	not_attempted
172	50.066	0	none	0	676	0	676	not_attempted
173	50.342	0	none	0	676	0	676	not_attempted
174	50.613	0	none	0	676	0	676	not_attempted
175	50.889	0	none	0	676	0	676	not_attempted
176	51.169	0	none	0	676	0	676	not_attempted
177	51.445	0	none	0	676	0	676	not_attempted
178	51.717	0	none	0	676	0	676	not_attempted
179	51.997	0	none	0	676	0	676	not_attempted
180	52.322	0	none	0	676	0	676	not_attempted
181	52.668	0	none	0	676	0	676	not_attempted
182	52.945	0	none	0	676	0	676	not_attempted
183	53.286	0	none	0	676	0	676	not_attempted
184	53.572	0	none	0	676	0	676	not_attempted
185	53.843	0	none	0	676	0	676	not_attempted
186	54.118	0	none	0	676	0	676	not_attempted
187	54.408	0	none	0	676	0	676	not_attempted
188	54.682	0	none	0	676	0	676	not_attempted
189	54.982	0	none	0	676	0	676	not_attempted
190	55.260	0	none	0	676	0	676	not_attempted
191	55.537	1	lidar	0	676	104	679	replanned
192	55.883	0	none	0	679	0	679	not_attempted
193	56.191	0	none	0	679	0	679	not_attempted
194	56.469	1	lidar	0	679	107	715	replanned
195	56.856	0	none	0	715	0	715	not_attempted
196	57.166	0	none	0	715	0	715	not_attempted
197	57.464	0	none	0	715	0	715	not_attempted
198	57.783	0	none	0	715	0	715	not_attempted
199	58.058	0	none	0	715	0	715	not_attempted
200	58.335	0	none	0	715	0	715	not_attempted
201	58.614	0	none	0	715	0	715	not_attempted
202	58.903	0	none	0	715	0	715	not_attempted
203	59.180	0	none	0	715	0	715	not_attempted
204	59.466	1	lidar	0	715	107	715	replanned
205	59.873	0	none	0	715	0	715	not_attempted
206	60.167	0	none	0	715	0	715	not_attempted
207	60.456	1	lidar	0	715	106	704	replanned
208	60.814	0	none	0	704	0	704	not_attempted
209	61.150	0	none	0	704	0	704	not_attempted
210	61.431	1	lidar	0	704	106	703	replanned
211	61.782	0	none	0	703	0	703	not_attempted
212	62.126	0	none	0	703	0	703	not_attempted
213	62.400	0	none	0	703	0	703	not_attempted
214	62.680	0	none	0	703	0	703	not_attempted
215	62.956	0	none	0	703	0	703	not_attempted
216	63.231	0	none	0	703	0	703	not_attempted
217	63.506	0	none	0	703	0	703	not_attempted
218	63.825	0	none	0	703	0	703	not_attempted
219	64.098	0	none	0	703	0	703	not_attempted
220	64.372	0	none	0	703	0	703	not_attempted
221	64.673	0	none	0	703	0	703	not_attempted
222	64.961	0	none	0	703	0	703	not_attempted
223	65.245	0	none	0	703	0	703	not_attempted
224	65.519	0	none	0	703	0	703	not_attempted
225	65.793	0	none	0	703	0	703	not_attempted
226	66.065	0	none	0	703	0	703	not_attempted
227	66.343	0	none	0	703	0	703	not_attempted
228	66.618	0	none	0	703	0	703	not_attempted
229	66.929	0	none	0	703	0	703	not_attempted
230	67.206	0	none	0	703	0	703	not_attempted
231	67.478	0	none	0	703	0	703	not_attempted
232	67.780	0	none	0	703	0	703	not_attempted
233	68.056	0	none	0	703	0	703	not_attempted
234	68.331	0	none	0	703	0	703	not_attempted
235	68.611	0	none	0	703	0	703	not_attempted
236	68.890	0	none	0	703	0	703	not_attempted
237	69.173	0	none	0	703	0	703	not_attempted
238	69.450	0	none	0	703	0	703	not_attempted
239	69.721	0	none	0	703	0	703	not_attempted
240	69.995	0	none	0	703	0	703	not_attempted
241	70.275	0	none	0	703	0	703	not_attempted
242	70.557	0	none	0	703	0	703	not_attempted
243	70.832	0	none	0	703	0	703	not_attempted
244	71.110	0	none	0	703	0	703	not_attempted
245	71.400	0	none	0	703	0	703	not_attempted
246	71.677	0	none	0	703	0	703	not_attempted
247	71.966	0	none	0	703	0	703	not_attempted
248	72.244	0	none	0	703	0	703	not_attempted
249	72.531	0	none	0	703	0	703	not_attempted
250	72.818	0	none	0	703	0	703	not_attempted
251	73.122	0	none	0	703	0	703	not_attempted
252	73.399	0	none	0	703	0	703	not_attempted
253	73.670	0	none	0	703	0	703	not_attempted
254	73.972	0	none	0	703	0	703	not_attempted
255	74.246	0	none	0	703	0	703	not_attempted
256	74.536	0	none	0	703	0	703	not_attempted
257	74.828	0	none	0	703	0	703	not_attempted
258	75.108	0	none	0	703	0	703	not_attempted
259	75.383	0	none	0	703	0	703	not_attempted
260	75.671	0	none	0	703	0	703	not_attempted
261	75.982	0	none	0	703	0	703	not_attempted
262	76.263	0	none	0	703	0	703	not_attempted
263	76.549	0	none	0	703	0	703	not_attempted
264	76.837	0	none	0	703	0	703	not_attempted
265	77.112	0	none	0	703	0	703	not_attempted
266	77.384	0	none	0	703	0	703	not_attempted
267	77.668	0	none	0	703	0	703	not_attempted
268	77.939	0	none	0	703	0	703	not_attempted
269	78.211	0	none	0	703	0	703	not_attempted
270	78.490	0	none	0	703	0	703	not_attempted
271	78.765	0	none	0	703	0	703	not_attempted
272	79.043	0	none	0	703	0	703	not_attempted
273	79.319	0	none	0	703	0	703	not_attempted
274	79.598	0	none	0	703	0	703	not_attempted
275	79.873	0	none	0	703	0	703	not_attempted
276	80.158	0	none	0	703	0	703	not_attempted
277	80.432	0	none	0	703	0	703	not_attempted
278	80.709	0	none	0	703	0	703	not_attempted
279	80.988	0	none	0	703	0	703	not_attempted
280	81.267	0	none	0	703	0	703	not_attempted
281	81.547	0	none	0	703	0	703	not_attempted
282	81.899	0	none	0	703	0	703	not_attempted
283	82.217	0	none	0	703	0	703	not_attempted
284	82.494	0	none	0	703	0	703	not_attempted
285	82.814	0	none	0	703	0	703	not_attempted
286	83.090	0	none	0	703	0	703	not_attempted
287	83.370	0	none	0	703	0	703	not_attempted
288	83.691	0	none	0	703	0	703	not_attempted
289	83.976	0	none	0	703	0	703	not_attempted
290	84.249	0	none	0	703	0	703	not_attempted
291	84.532	0	none	0	703	0	703	not_attempted
292	84.819	0	none	0	703	0	703	not_attempted
293	85.100	0	none	0	703	0	703	not_attempted
294	85.386	0	none	0	703	0	703	not_attempted
295	85.671	0	none	0	703	0	703	not_attempted
296	85.948	0	none	0	703	0	703	not_attempted
297	86.231	0	none	0	703	0	703	not_attempted
298	86.520	0	none	0	703	0	703	not_attempted
299	86.791	0	none	0	703	0	703	not_attempted
300	87.069	0	none	0	703	0	703	not_attempted
301	87.341	0	none	0	703	0	703	not_attempted
302	87.624	0	none	0	703	0	703	not_attempted
303	87.904	0	none	0	703	0	703	not_attempted
304	88.183	0	none	0	703	0	703	not_attempted
305	88.476	0	none	0	703	0	703	not_attempted
306	88.756	0	none	0	703	0	703	not_attempted
307	89.037	0	none	0	703	0	703	not_attempted
308	89.310	0	none	0	703	0	703	not_attempted
309	89.589	0	none	0	703	0	703	not_attempted
310	89.861	0	none	0	703	0	703	not_attempted
311	90.138	0	none	0	703	0	703	not_attempted
312	90.415	0	none	0	703	0	703	not_attempted
313	90.689	0	none	0	703	0	703	not_attempted
314	90.967	0	none	0	703	0	703	not_attempted
315	91.243	0	none	0	703	0	703	not_attempted
316	91.521	0	none	0	703	0	703	not_attempted
317	91.838	0	none	0	703	0	703	not_attempted
318	92.107	0	none	0	703	0	703	not_attempted
319	92.381	0	none	0	703	0	703	not_attempted
320	92.661	0	none	0	703	0	703	not_attempted
321	92.935	0	none	0	703	0	703	not_attempted
322	93.210	0	none	0	703	0	703	not_attempted
323	93.492	0	none	0	703	0	703	not_attempted
324	93.770	0	none	0	703	0	703	not_attempted
325	94.047	0	none	0	703	0	703	not_attempted
326	94.323	0	none	0	703	0	703	not_attempted
327	94.596	0	none	0	703	0	703	not_attempted
328	94.869	0	none	0	703	0	703	not_attempted
329	95.140	0	none	0	703	0	703	not_attempted
