step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
10	3.289	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.900	300.000	1179.980	39.996	-90.900	0.000	0.000	18.000	1.000	0.500	0	11.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.100	18.000	-1.000	0	0	0
11	3.580	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.900	300.000	1179.980	39.996	-90.900	0.000	0.000	18.000	1.000	0.500	0	11.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.100	18.000	-1.000	0	0	0
12	3.850	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.900	300.000	1179.980	39.996	-90.900	0.000	0.000	18.000	1.000	0.500	0	11.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.100	18.000	-1.000	0	0	0
13	4.120	Running	0	0	1	0	0	0	649	649	-5664.000	-10080.101	1440.400	180.900	300.000	1179.980	39.996	-90.900	0.000	0.000	18.000	1.000	0.500	0	11.000	0.000	0.000	0.000	-3700.000	-2820.020	5656.854	-3.553	876.427	104	104	97	97	57	429.289	429.289	-44.100	18.000	-1.000	0	0	0
14	4.392	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.900	300.000	1170.020	39.996	-91.900	0.100	9.961	18.000	1.000	0.800	0	11.100	0.100	9.961	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	433.537	-46.668	18.000	-1.000	0	0	0
15	4.679	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.900	300.000	1170.020	39.996	-91.900	0.000	0.000	18.000	1.000	0.800	0	11.100	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	437.254	-46.668	18.000	-1.000	0	0	0
16	4.946	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.900	300.000	1170.020	39.996	-91.900	0.000	0.000	18.000	1.000	0.800	0	11.100	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	440.534	-46.668	18.000	-1.000	0	0	0
17	5.222	Running	0	0	1	0	0	0	649	642	-5664.000	-10080.200	1440.400	181.900	300.000	1170.020	39.996	-91.900	0.000	0.000	18.000	1.000	0.800	0	11.100	0.000	0.000	0.000	-3700.000	-2820.020	5649.815	-53.553	826.427	104	103	96	96	58	493.007	443.449	-46.668	18.000	-1.000	0	0	0
18	5.491	Running	0	0	1	0	0	0	649	640	-5664.100	-10080.300	1440.400	183.400	289.990	1160.058	39.996	-93.400	0.141	14.122	18.000	1.000	1.000	0	11.200	0.100	14.122	0.000	-3700.000	-2820.020	5635.694	-63.563	816.417	103	103	96	96	58	493.041	446.059	-45.150	18.000	-1.000	0	0	0
19	5.765	Running	0	0	1	0	0	0	649	640	-5664.100	-10080.300	1440.400	183.400	289.990	1160.058	39.996	-93.400	0.000	0.000	18.000	1.000	1.000	0	11.200	0.000	0.000	0.000	-3700.000	-2820.020	5635.694	-63.563	816.417	103	103	96	96	58	493.041	448.408	-45.150	18.000	-1.000	0	0	0
