epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss
1,0.07545535856020184,0.9754142252057783,0.04925317890710955,0.9820366962034714,0.04925317890710955
2,0.041997796389582356,0.9844066905889984,0.045820541406272494,0.9833791556805218,0.045820541406272494
3,0.037142161826992974,0.9861950209412982,0.044787567424279084,0.9840011301272809,0.044787567424279084
4,0.03418783008208677,0.9873276044033964,0.043805921799284296,0.9841213072614433,0.043805921799284296
5,0.0319905513495943,0.9881031400596335,0.04435869897224818,0.9837445981678187,0.043805921799284296
6,0.030402855204644925,0.9887096189896107,0.04253164373124571,0.9850567244739867,0.04253164373124571
7,0.029174813601060702,0.9891686804542892,0.04432233912287375,0.9847245040309895,0.04253164373124571
8,0.028101911775236584,0.9895373207213796,0.04196243229377757,0.9850971687018298,0.04196243229377757
9,0.02717010126625004,0.9898982326809836,0.04260292393117777,0.9851451240005581,0.04196243229377757
10,0.02646460879932133,0.9901437996513567,0.04211976653309933,0.985397611537236,0.04196243229377757
11,0.0238844573653932,0.9910999844950831,0.04300612261048951,0.9855853883093648,0.04196243229377757
12,0.023143227816836462,0.991380522056831,0.04228119330948128,0.9854629000764685,0.04196243229377757
