step_idx	elapsed_s	stuck_x_cm	stuck_y_cm	stuck_z_cm	hist_x_cm	hist_y_cm	hist_z_cm	hist_heading_deg	dist_from_stuck_cm	contact_side	contact_min_lidar_cm	bumper_sample_idx	bumper_lateral_offset_cm	obstacle_x_cm	obstacle_y_cm	obstacle_cell_x	obstacle_cell_y	placed
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	0	-160.000	-37.230	351.634	97	87	1
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	1	-106.667	15.916	347.171	98	87	1
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	2	-53.333	69.062	342.708	99	87	1
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	3	0.000	122.209	338.245	100	87	1
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	4	53.333	175.355	333.782	101	87	1
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	5	106.667	228.501	329.320	102	86	1
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	6	160.000	281.648	324.857	103	86	1
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	0	-160.000	-37.230	351.634	97	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	1	-106.667	15.916	347.171	98	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	2	-53.333	69.062	342.708	99	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	3	0.000	122.209	338.245	100	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	4	53.333	175.355	333.782	101	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	5	106.667	228.501	329.320	102	86	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	6	160.000	281.648	324.857	103	86	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	0	-160.000	-37.230	351.634	97	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	1	-106.667	15.916	347.171	98	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	2	-53.333	69.062	342.708	99	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	3	0.000	122.209	338.245	100	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	4	53.333	175.355	333.782	101	87	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	5	106.667	228.501	329.320	102	86	0
225	69.377	179.980	510.058	79.999	139.990	550.000	79.999	-94.800	56.520	front	0.000	6	160.000	281.648	324.857	103	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	0	-160.000	-18.935	333.168	97	87	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	1	-106.667	34.170	328.242	98	86	1
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	2	-53.333	87.276	323.315	99	86	1
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	3	0.000	140.381	318.389	100	86	1
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	4	53.333	193.486	313.462	101	86	1
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	5	106.667	246.592	308.536	102	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	6	160.000	299.697	303.610	103	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	0	-160.000	-18.935	333.168	97	87	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	1	-106.667	34.170	328.242	98	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	2	-53.333	87.276	323.315	99	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	3	0.000	140.381	318.389	100	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	4	53.333	193.486	313.462	101	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	5	106.667	246.592	308.536	102	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	6	160.000	299.697	303.610	103	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	0	-160.000	-18.935	333.168	97	87	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	1	-106.667	34.170	328.242	98	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	2	-53.333	87.276	323.315	99	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	3	0.000	140.381	318.389	100	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	4	53.333	193.486	313.462	101	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	5	106.667	246.592	308.536	102	86	0
225	69.377	179.980	510.058	79.999	160.010	529.980	79.999	-95.300	28.208	front	0.000	6	160.000	299.697	303.610	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	0	-160.000	-20.331	334.166	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	1	-106.667	32.388	326.099	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	2	-53.333	85.108	318.032	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	3	0.000	137.828	309.965	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	4	53.333	190.547	301.897	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	5	106.667	243.267	293.830	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	6	160.000	295.987	285.763	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	0	-160.000	-20.331	334.166	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	1	-106.667	32.388	326.099	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	2	-53.333	85.108	318.032	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	3	0.000	137.828	309.965	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	4	53.333	190.547	301.897	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	5	106.667	243.267	293.830	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	6	160.000	295.987	285.763	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	0	-160.000	-20.331	334.166	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	1	-106.667	32.388	326.099	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	2	-53.333	85.108	318.032	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	3	0.000	137.828	309.965	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	4	53.333	190.547	301.897	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	5	106.667	243.267	293.830	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-98.700	14.122	front	0.000	6	160.000	295.987	285.763	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	70.001	-99.000	17.302	front	0.000	0	-160.000	-21.302	335.165	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	70.001	-99.000	17.302	front	0.000	1	-106.667	31.375	326.822	98	86	0
