sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
0,1,523.229980,579.028870,231.733383,-128.961197,339.990204,1020.019470,49.993999,-90.300003
0,3,586.640015,72.037300,178.394806,-150.648697,339.990204,1020.019470,49.993999,-90.300003
0,5,436.690002,411.215179,298.861115,-134.559174,339.990204,1020.019470,49.993999,-90.300003
0,6,446.920013,261.168701,290.375122,-138.882553,339.990204,1020.019470,49.993999,-90.300003
0,7,393.109985,944.175049,976.855408,-84.457535,339.990204,1020.019470,49.993999,-90.300003
0,8,417.750000,-287.767242,983.305969,-92.884918,339.990204,1020.019470,49.993999,-90.300003
0,9,616.890015,1010.110413,1704.085327,49.993999,339.990204,1020.019470,49.993999,-90.300003
0,10,302.239990,423.247162,1641.832031,49.993999,339.990204,1020.019470,49.993999,-90.300003
0,11,294.309998,293.207428,1634.582886,49.993999,339.990204,1020.019470,49.993999,-90.300003
0,12,665.809998,-299.179077,1748.416260,49.993999,339.990204,1020.019470,49.993999,-90.300003
0,13,503.640015,580.482849,227.672592,-37.462170,339.990204,1020.019470,49.993999,-90.300003
0,15,877.369995,806.317383,-79.911613,49.993999,339.990204,1020.019470,49.993999,-90.300003
1,1,523.229980,579.028870,231.733383,-128.961197,339.990204,1020.019470,49.993999,-90.300003
1,3,586.640015,72.037300,178.394806,-150.648697,339.990204,1020.019470,49.993999,-90.300003
1,5,436.690002,411.215179,298.861115,-134.559174,339.990204,1020.019470,49.993999,-90.300003
1,6,446.920013,261.168701,290.375122,-138.882553,339.990204,1020.019470,49.993999,-90.300003
1,7,393.109985,944.175049,976.855408,-84.457535,339.990204,1020.019470,49.993999,-90.300003
1,8,417.750000,-287.767242,983.305969,-92.884918,339.990204,1020.019470,49.993999,-90.300003
1,9,616.890015,1010.110413,1704.085327,49.993999,339.990204,1020.019470,49.993999,-90.300003
1,10,302.239990,423.247162,1641.832031,49.993999,339.990204,1020.019470,49.993999,-90.300003
1,11,294.309998,293.207428,1634.582886,49.993999,339.990204,1020.019470,49.993999,-90.300003
1,12,665.809998,-299.179077,1748.416260,49.993999,339.990204,1020.019470,49.993999,-90.300003
1,13,503.640015,580.482849,227.672592,-37.462170,339.990204,1020.019470,49.993999,-90.300003
1,15,877.369995,806.317383,-79.911613,49.993999,339.990204,1020.019470,49.993999,-90.300003
2,1,523.229980,579.028870,231.733383,-128.961197,339.990204,1020.019470,49.993999,-90.300003
