step_idx	elapsed_s	status	reverse_active	path_reverse_active	stuck_detection_armed	planner_rebuilt	replan_attempted	raw_path_points	follow_path_points	active_path_points	raw_rover_x	raw_rover_y	raw_rover_z	raw_heading_deg	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	raw_pose_delta	pose_delta_cm	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	distance_traveled_delta	moved_since_anchor_cm	stationary_elapsed_s	goal_x_cm	goal_y_cm	goal_dist_cm	target_x_cm	target_y_cm	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	waypoint_idx	waypoint_distance_cm	waypoint_distance_avg_cm	path_heading_error_deg	throttle_cmd	steering_cmd	new_lidar_obstacles	stuck_obstacles_added	obstacle_total
0	0.000	Running	0	0	0	0	0	0	649	649	-5676.500	-10100.601	1441.800	282.200	-950.000	-870.020	179.999	167.800	0.000	0.000	0.000	0.000	0.000	1	750.400	0.000	0.000	0.000	-4950.000	-4870.020	5656.854	-1253.553	-1173.573	104	104	97	97	57	429.289	429.289	57.200	18.000	1.000	0	0	0
1	0.352	Running	0	0	0	0	0	0	649	649	-5676.500	-10100.601	1441.800	282.200	-950.000	-870.020	179.999	167.800	0.000	0.000	18.000	-1.000	0.000	0	750.400	0.000	0.000	0.352	-4950.000	-4870.020	5656.854	-1253.553	-1173.573	104	104	97	97	57	429.289	429.289	57.200	18.000	1.000	0	0	0
2	0.633	Running	0	0	0	0	0	0	649	649	-5676.500	-10100.601	1441.800	282.200	-950.000	-870.020	179.999	167.800	0.000	0.000	18.000	-1.000	0.000	0	750.400	0.000	0.000	0.633	-4950.000	-4870.020	5656.854	-1253.553	-1173.573	104	104	97	97	57	429.289	429.289	57.200	18.000	1.000	0	0	0
3	0.913	Running	0	0	0	0	0	0	649	649	-5676.500	-10100.601	1441.800	282.200	-950.000	-870.020	179.999	167.800	0.000	0.000	18.000	-1.000	0.000	0	750.400	0.000	0.000	0.913	-4950.000	-4870.020	5656.854	-1253.553	-1173.573	104	104	97	97	57	429.289	429.289	57.200	18.000	1.000	0	0	0
4	1.200	Running	0	0	0	0	0	0	649	649	-5676.500	-10100.601	1441.800	282.200	-950.000	-870.020	179.999	167.800	0.000	0.000	18.000	-1.000	0.000	0	750.400	0.000	0.000	1.200	-4950.000	-4870.020	5656.854	-1253.553	-1173.573	104	104	97	97	57	429.289	429.289	57.200	18.000	1.000	0	0	0
5	1.480	Running	0	0	0	0	0	0	649	649	-5676.500	-10100.601	1441.800	282.200	-950.000	-870.020	179.999	167.800	0.000	0.000	18.000	-1.000	0.000	0	750.400	0.000	0.000	1.480	-4950.000	-4870.020	5656.854	-1253.553	-1173.573	104	104	97	97	57	429.289	429.289	57.200	18.000	1.000	0	0	0
6	1.788	Running	0	0	0	0	0	0	649	649	-5676.500	-10100.601	1441.800	282.200	-950.000	-870.020	179.999	167.800	0.000	0.000	18.000	-1.000	0.000	0	750.400	0.000	0.000	1.788	-4950.000	-4870.020	5656.854	-1253.553	-1173.573	104	104	97	97	57	429.289	429.289	57.200	18.000	1.000	0	0	0
7	2.065	Running	0	0	0	0	0	0	649	649	-5676.500	-10100.601	1441.800	282.200	-950.000	-870.020	179.999	167.800	0.000	0.000	18.000	-1.000	0.000	0	750.400	0.000	0.000	2.065	-4950.000	-4870.020	5656.854	-1253.553	-1173.573	104	104	97	97	57	429.289	429.289	57.200	18.000	1.000	0	0	0
8	2.358	Running	0	0	1	0	0	0	649	642	-5676.600	-10100.601	1441.800	282.000	-960.010	-870.020	179.999	168.000	0.100	10.010	18.000	-1.000	0.200	0	750.400	0.000	10.010	0.000	-4950.000	-4870.020	5649.781	-1303.553	-1223.573	103	104	96	96	58	492.973	436.365	60.587	18.000	1.000	0	0	0
9	2.632	Running	0	0	1	0	0	0	649	642	-5676.600	-10100.601	1441.800	282.000	-960.010	-870.020	179.999	168.000	0.000	0.000	18.000	-1.000	0.200	0	750.400	0.000	0.000	0.000	-4950.000	-4870.020	5649.781	-1303.553	-1223.573	103	104	96	96	58	492.973	442.026	60.587	18.000	1.000	0	0	0
