step_idx	elapsed_s	sensor_idx	sensor_label	sensor_enabled	raw_cm	raw_is_zero	valid_range_gt0	valid_range_ge0	mask_hit	pitch_scale	planar_hit_cm	hit_world_z_cm	low_clearance_hit	chunk_name	chunk_hit_count	chunk_threshold_met	hit_dist_from_rover_cm	within_local_radius	usable_for_mark	placed	usable_reason	map_origin	sensor_local_x_cm	sensor_local_y_cm	sensor_yaw_deg	sensor_pitch_deg	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	hit_world_x_cm	hit_world_y_cm	hit_cell_x	hit_cell_y	center_hit_world_x_cm	center_hit_world_y_cm	center_hit_cell_x	center_hit_cell_y
3	0.948	11	rear_right_frame_backward	1	402.230	0	1	1	0	1.000	402.230	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	250.000	1499.980	103	110	nan	nan	-1	-1	300.000	1582.210	104	112
3	0.948	12	rear_right_wheel_hub_back_yaw_n40	1	737.900	0	1	1	0	1.000	737.900	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	85.000	1394.980	99	108	nan	nan	-1	-1	-174.313	1745.245	94	115
3	0.948	13	front_left_frame_yaw_p20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	325.000	75.000	20.000	-10.000	375.000	854.980	105	97	nan	nan	-1	-1	nan	nan	-1	-1
3	0.948	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	325.000	-75.000	-20.000	-10.000	225.000	854.980	102	97	nan	nan	-1	-1	nan	nan	-1	-1
3	0.948	15	front_left_wheel_hub_yaw_p15	1	964.240	0	1	1	0	1.000	964.240	49.994	0	front	1	1	nan	0	0	0	masked_non_contact	center	250.000	245.000	15.000	0.000	545.000	929.980	108	99	nan	nan	-1	-1	549.564	248.596	108	85
3	0.948	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	250.000	-245.000	-15.000	0.000	55.000	929.980	99	99	nan	nan	-1	-1	nan	nan	-1	-1
4	1.273	0	front_left_wheel_hub_yaw_p30	1	0.000	1	0	1	1	1.000	0.000	49.994	0	front	1	1	0.000	1	1	0	inside_rover_bbox	center	250.000	245.000	30.000	0.000	545.000	929.980	108	99	300.000	1179.980	104	104	300.000	1179.980	104	104
4	1.273	1	front_left_frame_yaw_p20_pitch_n20	0	516.350	0	1	1	0	0.940	485.210	-126.608	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	375.000	854.980	105	97	nan	nan	-1	-1	465.952	724.032	107	94
4	1.273	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	300.000	854.980	104	97	nan	nan	-1	-1	nan	nan	-1	-1
4	1.273	3	front_right_frame_yaw_n20_pitch_n20	0	563.850	0	1	1	0	0.940	529.846	-142.854	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	225.000	854.980	102	97	nan	nan	-1	-1	118.782	682.088	100	94
4	1.273	4	front_right_wheel_hub_yaw_n30	1	864.620	0	1	1	0	1.000	864.620	49.994	0	front	1	1	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	55.000	929.980	99	99	nan	nan	-1	-1	-132.310	431.198	95	89
4	1.273	5	front_left_frame_pitch_n25	0	429.830	0	1	1	0	0.906	389.558	-131.660	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	375.000	854.980	105	97	nan	nan	-1	-1	300.000	790.422	104	96
4	1.273	6	front_right_frame_pitch_n25	0	441.190	0	1	1	0	0.906	399.854	-136.461	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	225.000	854.980	102	97	nan	nan	-1	-1	300.000	780.126	104	96
4	1.273	7	left_mid_frame_left_pitch_n20	0	426.490	0	1	1	0	0.940	400.769	-95.874	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	535.000	1139.980	108	103	nan	nan	-1	-1	700.769	1179.980	112	104
4	1.273	8	right_mid_frame_right_pitch_n20	0	426.870	0	1	1	0	0.940	401.127	-96.004	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	65.000	1139.980	99	103	nan	nan	-1	-1	-101.127	1179.980	95	104
4	1.273	9	rear_left_wheel_hub_back_yaw_p40	1	667.150	0	1	1	0	1.000	667.150	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	570.000	1394.980	109	108	nan	nan	-1	-1	728.836	1691.047	112	114
4	1.273	10	rear_left_frame_backward	1	411.710	0	1	1	0	1.000	411.710	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	380.000	1499.980	105	110	nan	nan	-1	-1	300.000	1591.690	104	112
4	1.273	11	rear_right_frame_backward	1	402.230	0	1	1	0	1.000	402.230	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	250.000	1499.980	103	110	nan	nan	-1	-1	300.000	1582.210	104	112
4	1.273	12	rear_right_wheel_hub_back_yaw_n40	1	737.900	0	1	1	0	1.000	737.900	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	85.000	1394.980	99	108	nan	nan	-1	-1	-174.313	1745.245	94	115
4	1.273	13	front_left_frame_yaw_p20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	325.000	75.000	20.000	-10.000	375.000	854.980	105	97	nan	nan	-1	-1	nan	nan	-1	-1
4	1.273	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	325.000	-75.000	-20.000	-10.000	225.000	854.980	102	97	nan	nan	-1	-1	nan	nan	-1	-1
4	1.273	15	front_left_wheel_hub_yaw_p15	1	964.240	0	1	1	0	1.000	964.240	49.994	0	front	1	1	nan	0	0	0	masked_non_contact	center	250.000	245.000	15.000	0.000	545.000	929.980	108	99	nan	nan	-1	-1	549.564	248.596	108	85
4	1.273	16	front_right_wheel_hub_yaw_n15	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	250.000	-245.000	-15.000	0.000	55.000	929.980	99	99	nan	nan	-1	-1	nan	nan	-1	-1
5	1.545	0	front_left_wheel_hub_yaw_p30	1	0.000	1	0	1	1	1.000	0.000	49.994	0	front	1	1	0.000	1	1	0	inside_rover_bbox	center	250.000	245.000	30.000	0.000	545.000	929.980	108	99	300.000	1179.980	104	104	300.000	1179.980	104	104
5	1.545	1	front_left_frame_yaw_p20_pitch_n20	0	532.060	0	1	1	0	0.940	499.973	-131.981	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	375.000	854.980	105	97	nan	nan	-1	-1	471.001	710.160	107	94
5	1.545	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	300.000	854.980	104	97	nan	nan	-1	-1	nan	nan	-1	-1
5	1.545	3	front_right_frame_yaw_n20_pitch_n20	0	583.310	0	1	1	0	0.940	548.132	-149.510	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	225.000	854.980	102	97	nan	nan	-1	-1	112.528	664.905	100	93
5	1.545	4	front_right_wheel_hub_yaw_n30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	1	1	nan	0	0	0	invalid_range	center	250.000	-245.000	-30.000	0.000	55.000	929.980	99	99	nan	nan	-1	-1	nan	nan	-1	-1
5	1.545	5	front_left_frame_pitch_n25	0	442.030	0	1	1	0	0.906	400.615	-136.816	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	375.000	854.980	105	97	nan	nan	-1	-1	300.000	779.365	104	95
5	1.545	6	front_right_frame_pitch_n25	0	453.510	0	1	1	0	0.906	411.020	-141.668	1	front	1	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	225.000	854.980	102	97	nan	nan	-1	-1	300.000	768.961	104	95
5	1.545	7	left_mid_frame_left_pitch_n20	0	423.140	0	1	1	0	0.940	397.622	-94.728	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	535.000	1139.980	108	103	nan	nan	-1	-1	697.622	1179.980	111	104
5	1.545	8	right_mid_frame_right_pitch_n20	0	422.000	0	1	1	0	0.940	396.550	-94.339	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	65.000	1139.980	99	103	nan	nan	-1	-1	-96.550	1179.980	96	104
5	1.545	9	rear_left_wheel_hub_back_yaw_p40	1	673.320	0	1	1	0	1.000	673.320	49.994	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	570.000	1394.980	109	108	nan	nan	-1	-1	732.802	1695.773	112	114
