step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
26	7.511	Running	289.990	1129.980	49.994	-96.200	5614.492	472.569	466.677	-63.563	816.417	56	638	50	-1.000	50.000	1.000	1.200	0	131.900	0	0	103	103	96	96	6.450	6.605	0.000	348.900	1	1
27	7.835	Running	289.990	1129.980	49.994	-96.200	5614.492	472.569	466.888	-63.563	816.417	56	638	50	-1.000	50.000	1.000	1.200	0	131.900	0	0	103	103	96	96	6.450	6.605	0.000	348.900	1	1
28	8.103	Running	289.990	1129.980	49.994	-96.200	5614.492	472.569	467.084	-63.563	816.417	56	638	50	-1.000	50.000	1.000	1.200	0	131.900	0	0	103	103	96	96	6.450	6.605	0.000	348.900	1	1
29	8.365	Running	289.990	1129.980	49.994	-96.200	5614.492	472.569	467.267	-63.563	816.417	56	638	50	-1.000	50.000	1.000	1.200	1	131.900	0	0	103	103	96	96	6.450	6.605	0.000	348.900	1	1
30	8.615	Running	279.980	1120.020	49.994	-98.000	5600.371	472.602	467.439	-73.573	806.408	55	636	50	-1.000	50.000	1.000	1.800	1	132.000	0	0	103	102	96	96	6.450	6.605	0.000	345.060	1	1
31	8.867	Running	279.980	1120.020	49.994	-98.000	5600.371	472.602	467.600	-73.573	806.408	55	636	50	-1.000	50.000	1.000	1.800	1	132.000	0	0	103	102	96	96	6.450	6.605	0.000	345.060	1	1
32	9.134	Running	279.980	1120.020	49.994	-98.000	5600.371	472.602	467.752	-73.573	806.408	55	636	50	-1.000	50.000	1.000	1.800	1	132.000	0	0	103	102	96	96	6.450	6.605	0.000	345.060	1	1
33	9.406	Running	279.980	1120.020	49.994	-98.000	5600.371	472.602	467.894	-73.573	806.408	55	636	50	-1.000	50.000	1.000	1.800	0	132.000	0	0	103	102	96	96	6.450	6.605	0.000	345.060	1	1
34	9.660	Running	269.971	1110.058	49.994	-100.000	5586.249	472.634	468.030	-83.583	796.398	56	635	50	-1.000	50.000	1.000	1.200	0	132.200	0	0	103	102	96	96	6.450	6.605	nan	288.570	0	0
35	9.911	Running	269.971	1110.058	49.994	-100.000	5586.249	472.634	468.158	-83.583	796.398	56	635	50	-1.000	50.000	1.000	1.200	0	132.200	0	0	103	102	96	96	6.450	6.605	nan	288.570	0	0
36	10.176	Running	269.971	1110.058	49.994	-100.000	5586.249	472.634	468.279	-83.583	796.398	56	635	50	-1.000	50.000	1.000	1.200	0	132.200	0	0	103	102	96	96	6.450	6.605	nan	288.570	0	0
37	10.430	Running	269.971	1100.000	49.994	-100.400	5579.177	466.020	468.219	-83.583	796.398	55	634	50	-1.000	50.000	1.000	0.600	0	132.300	0	0	103	102	96	96	6.450	6.605	nan	350.710	0	0
38	10.692	Running	269.971	1100.000	49.994	-100.400	5579.177	466.020	468.163	-83.583	796.398	55	634	50	-1.000	50.000	1.000	0.600	0	132.300	0	0	103	102	96	96	6.450	6.605	nan	350.710	0	0
39	10.960	Running	269.971	1100.000	49.994	-100.400	5579.177	466.020	468.109	-83.583	796.398	55	634	50	-1.000	50.000	1.000	0.600	0	132.300	0	0	103	102	96	96	6.450	6.605	nan	350.710	0	0
40	11.212	Running	269.971	1100.000	49.994	-100.400	5579.177	466.020	468.058	-83.583	796.398	55	634	50	-1.000	50.000	1.000	0.600	0	132.300	0	0	103	102	96	96	6.450	6.605	nan	350.710	0	0
