step_idx	elapsed_s	sensor_idx	sensor_label	sensor_enabled	raw_cm	raw_is_zero	valid_range_gt0	valid_range_ge0	mask_hit	pitch_scale	planar_hit_cm	hit_world_z_cm	low_clearance_hit	chunk_name	chunk_hit_count	chunk_threshold_met	hit_dist_from_rover_cm	within_local_radius	usable_for_mark	placed	usable_reason	map_origin	sensor_local_x_cm	sensor_local_y_cm	sensor_yaw_deg	sensor_pitch_deg	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	hit_world_x_cm	hit_world_y_cm	hit_cell_x	hit_cell_y	center_hit_world_x_cm	center_hit_world_y_cm	center_hit_cell_x	center_hit_cell_y
3	1.491	12	rear_right_wheel_hub_back_yaw_n40	1	622.480	0	1	1	0	1.000	622.480	29.999	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	-486.515	1953.533	99	108	nan	nan	-1	-1	-673.461	2214.081	95	113
3	1.491	13	front_left_frame_yaw_p20_pitch_n10	1	973.440	0	1	1	0	0.985	958.651	-139.037	1	front	0	0	nan	0	0	0	masked_non_contact	center	325.000	75.000	20.000	-10.000	-192.752	1415.571	105	97	nan	nan	-1	-1	64.139	841.512	110	86
3	1.491	14	front_right_frame_yaw_n20_pitch_n10	1	-1.000	0	0	0	0	0.985	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	center	325.000	-75.000	-20.000	-10.000	-342.749	1414.523	102	97	nan	nan	-1	-1	nan	nan	-1	-1
3	1.491	15	front_left_wheel_hub_yaw_p15	1	859.830	0	1	1	0	1.000	859.830	29.999	0	front	0	0	nan	0	0	0	masked_non_contact	center	250.000	245.000	15.000	0.000	-23.280	1491.755	108	99	nan	nan	-1	-1	-41.686	911.081	108	87
3	1.491	16	front_right_wheel_hub_yaw_n15	1	755.560	0	1	1	0	1.000	755.560	29.999	0	front	0	0	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-15.000	0.000	-513.268	1488.335	99	98	nan	nan	-1	-1	-460.473	1008.877	100	89
4	1.803	0	front_left_wheel_hub_yaw_p30	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	center	250.000	245.000	30.000	0.000	-23.280	1491.755	108	99	nan	nan	-1	-1	nan	nan	-1	-1
4	1.803	1	front_left_frame_yaw_p20_pitch_n20	0	526.960	0	1	1	0	0.940	495.180	-150.232	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	-192.752	1415.571	105	97	nan	nan	-1	-1	-97.413	1275.915	107	94
4	1.803	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	0	0	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	-267.751	1415.047	104	97	nan	nan	-1	-1	nan	nan	-1	-1
4	1.803	3	front_right_frame_yaw_n20_pitch_n20	0	531.660	0	1	1	0	0.940	499.597	-151.840	1	front	0	0	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	-342.749	1414.523	102	97	nan	nan	-1	-1	-437.610	1269.390	100	94
4	1.803	4	front_right_wheel_hub_yaw_n30	1	746.150	0	1	1	0	1.000	746.150	29.999	0	front	0	0	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	-513.268	1488.335	99	98	nan	nan	-1	-1	-638.574	1091.265	96	91
