elapsed_s,step_idx,rover_x_cm,rover_y_cm,rover_heading_deg,sensor_index,sensor_label,sensor_x_cm,sensor_y_cm,sensor_yaw_deg,distance_cm,is_obstacle
0.872,4,-5664.00,-10065.20,180.00,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
0.872,4,-5664.00,-10065.20,180.00,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
0.872,4,-5664.00,-10065.20,180.00,16,front_right_wheel_hub_yaw_n15,250.00,-245.00,-15.00,1226.96,0
1.077,5,-5664.00,-10065.20,180.00,0,front_left_wheel_hub_yaw_p30,250.00,245.00,30.00,0.00,0
1.077,5,-5664.00,-10065.20,180.00,1,front_left_frame_yaw_p20_pitch_n20,325.00,75.00,20.00,614.77,0
1.077,5,-5664.00,-10065.20,180.00,2,front_center_frame_forward,325.00,0.00,0.00,-1.00,0
1.077,5,-5664.00,-10065.20,180.00,3,front_right_frame_yaw_n20_pitch_n20,325.00,-75.00,-20.00,657.39,0
1.077,5,-5664.00,-10065.20,180.00,4,front_right_wheel_hub_yaw_n30,250.00,-245.00,-30.00,1163.91,0
1.077,5,-5664.00,-10065.20,180.00,5,front_left_frame_pitch_n25,325.00,75.00,0.00,495.08,1
1.077,5,-5664.00,-10065.20,180.00,6,front_right_frame_pitch_n25,325.00,-75.00,0.00,503.14,1
1.077,5,-5664.00,-10065.20,180.00,7,left_mid_frame_left_pitch_n20,40.00,235.00,90.00,270.30,1
1.077,5,-5664.00,-10065.20,180.00,8,right_mid_frame_right_pitch_n20,40.00,-235.00,-90.00,413.92,1
1.077,5,-5664.00,-10065.20,180.00,9,rear_left_wheel_hub_back_yaw_p40,-215.00,270.00,140.00,331.22,1
1.077,5,-5664.00,-10065.20,180.00,10,rear_left_frame_backward,-320.00,80.00,180.00,153.01,1
1.077,5,-5664.00,-10065.20,180.00,11,rear_right_frame_backward,-320.00,-50.00,180.00,179.90,1
1.077,5,-5664.00,-10065.20,180.00,12,rear_right_wheel_hub_back_yaw_n40,-215.00,-215.00,-140.00,521.06,1
1.077,5,-5664.00,-10065.20,180.00,13,front_left_frame_yaw_p20_pitch_n10,325.00,75.00,20.00,-1.00,0
1.077,5,-5664.00,-10065.20,180.00,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
1.077,5,-5664.00,-10065.20,180.00,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
1.077,5,-5664.00,-10065.20,180.00,16,front_right_wheel_hub_yaw_n15,250.00,-245.00,-15.00,1226.96,0
1.282,6,-5664.00,-10065.20,180.00,0,front_left_wheel_hub_yaw_p30,250.00,245.00,30.00,0.00,0
1.282,6,-5664.00,-10065.20,180.00,1,front_left_frame_yaw_p20_pitch_n20,325.00,75.00,20.00,614.77,0
1.282,6,-5664.00,-10065.20,180.00,2,front_center_frame_forward,325.00,0.00,0.00,-1.00,0
1.282,6,-5664.00,-10065.20,180.00,3,front_right_frame_yaw_n20_pitch_n20,325.00,-75.00,-20.00,657.39,0
1.282,6,-5664.00,-10065.20,180.00,4,front_right_wheel_hub_yaw_n30,250.00,-245.00,-30.00,1163.91,0
1.282,6,-5664.00,-10065.20,180.00,5,front_left_frame_pitch_n25,325.00,75.00,0.00,495.08,1
1.282,6,-5664.00,-10065.20,180.00,6,front_right_frame_pitch_n25,325.00,-75.00,0.00,503.14,1
1.282,6,-5664.00,-10065.20,180.00,7,left_mid_frame_left_pitch_n20,40.00,235.00,90.00,270.30,1
1.282,6,-5664.00,-10065.20,180.00,8,right_mid_frame_right_pitch_n20,40.00,-235.00,-90.00,413.92,1
1.282,6,-5664.00,-10065.20,180.00,9,rear_left_wheel_hub_back_yaw_p40,-215.00,270.00,140.00,331.22,1
1.282,6,-5664.00,-10065.20,180.00,10,rear_left_frame_backward,-320.00,80.00,180.00,153.01,1
1.282,6,-5664.00,-10065.20,180.00,11,rear_right_frame_backward,-320.00,-50.00,180.00,179.90,1
1.282,6,-5664.00,-10065.20,180.00,12,rear_right_wheel_hub_back_yaw_n40,-215.00,-215.00,-140.00,521.06,1
1.282,6,-5664.00,-10065.20,180.00,13,front_left_frame_yaw_p20_pitch_n10,325.00,75.00,20.00,-1.00,0
1.282,6,-5664.00,-10065.20,180.00,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
1.282,6,-5664.00,-10065.20,180.00,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
1.282,6,-5664.00,-10065.20,180.00,16,front_right_wheel_hub_yaw_n15,250.00,-245.00,-15.00,1226.96,0
1.488,7,-5664.00,-10065.20,180.00,0,front_left_wheel_hub_yaw_p30,250.00,245.00,30.00,0.00,0
1.488,7,-5664.00,-10065.20,180.00,1,front_left_frame_yaw_p20_pitch_n20,325.00,75.00,20.00,614.77,0
1.488,7,-5664.00,-10065.20,180.00,2,front_center_frame_forward,325.00,0.00,0.00,-1.00,0
1.488,7,-5664.00,-10065.20,180.00,3,front_right_frame_yaw_n20_pitch_n20,325.00,-75.00,-20.00,657.39,0
1.488,7,-5664.00,-10065.20,180.00,4,front_right_wheel_hub_yaw_n30,250.00,-245.00,-30.00,1163.91,0
1.488,7,-5664.00,-10065.20,180.00,5,front_left_frame_pitch_n25,325.00,75.00,0.00,495.08,1
1.488,7,-5664.00,-10065.20,180.00,6,front_right_frame_pitch_n25,325.00,-75.00,0.00,503.14,1
1.488,7,-5664.00,-10065.20,180.00,7,left_mid_frame_left_pitch_n20,40.00,235.00,90.00,270.30,1
1.488,7,-5664.00,-10065.20,180.00,8,right_mid_frame_right_pitch_n20,40.00,-235.00,-90.00,413.92,1
1.488,7,-5664.00,-10065.20,180.00,9,rear_left_wheel_hub_back_yaw_p40,-215.00,270.00,140.00,331.22,1
1.488,7,-5664.00,-10065.20,180.00,10,rear_left_frame_backward,-320.00,80.00,180.00,153.01,1
1.488,7,-5664.00,-10065.20,180.00,11,rear_right_frame_backward,-320.00,-50.00,180.00,179.90,1
1.488,7,-5664.00,-10065.20,180.00,12,rear_right_wheel_hub_back_yaw_n40,-215.00,-215.00,-140.00,521.06,1
1.488,7,-5664.00,-10065.20,180.00,13,front_left_frame_yaw_p20_pitch_n10,325.00,75.00,20.00,-1.00,0
1.488,7,-5664.00,-10065.20,180.00,14,front_right_frame_yaw_n20_pitch_n10,325.00,-75.00,-20.00,-1.00,0
1.488,7,-5664.00,-10065.20,180.00,15,front_left_wheel_hub_yaw_p15,250.00,245.00,15.00,-1.00,0
