sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm
35,10,385.980011,354.526825,1540.464233,59.991600
35,11,381.269989,225.763412,1521.966553,59.991600
35,12,711.159973,-399.056427,1514.036011,59.991600
35,15,320.450012,735.539734,308.465576,59.991600
36,6,427.809998,351.161865,113.318565,-120.808716
36,7,400.899994,962.509705,855.210938,-77.124275
36,8,408.760010,-261.352783,724.417969,-79.812553
36,9,612.250000,937.104004,1580.629272,59.991600
36,10,385.980011,354.526825,1540.464233,59.991600
36,11,381.269989,225.763412,1521.966553,59.991600
36,12,711.159973,-399.056427,1514.036011,59.991600
36,15,320.450012,735.539734,308.465576,59.991600
37,6,427.809998,351.161865,113.318565,-120.808716
37,7,400.899994,962.509705,855.210938,-77.124275
37,8,408.760010,-261.352783,724.417969,-79.812553
37,9,612.250000,937.104004,1580.629272,59.991600
37,10,385.980011,354.526825,1540.464233,59.991600
37,11,381.269989,225.763412,1521.966553,59.991600
37,12,711.159973,-399.056427,1514.036011,59.991600
37,15,320.450012,735.539734,308.465576,59.991600
38,6,427.809998,351.161865,113.318565,-120.808716
38,7,400.899994,962.509705,855.210938,-77.124275
38,8,408.760010,-261.352783,724.417969,-79.812553
38,9,612.250000,937.104004,1580.629272,59.991600
38,10,385.980011,354.526825,1540.464233,59.991600
38,11,381.269989,225.763412,1521.966553,59.991600
38,12,711.159973,-399.056427,1514.036011,59.991600
38,15,320.450012,735.539734,308.465576,59.991600
39,6,427.809998,351.161865,113.318565,-120.808716
39,7,400.899994,962.509705,855.210938,-77.124275
39,8,408.760010,-261.352783,724.417969,-79.812553
39,9,612.250000,937.104004,1580.629272,59.991600
39,10,385.980011,354.526825,1540.464233,59.991600
39,11,381.269989,225.763412,1521.966553,59.991600
39,12,711.159973,-399.056427,1514.036011,59.991600
39,15,320.450012,735.539734,308.465576,59.991600
40,6,427.809998,351.161865,113.318565,-120.808716
40,7,400.899994,962.509705,855.210938,-77.124275
40,8,408.760010,-261.352783,724.417969,-79.812553
40,9,612.250000,937.104004,1580.629272,59.991600
40,10,385.980011,354.526825,1540.464233,59.991600
40,11,381.269989,225.763412,1521.966553,59.991600
40,12,711.159973,-399.056427,1514.036011,59.991600
40,15,320.450012,735.539734,308.465576,59.991600
41,6,427.809998,351.161865,113.318565,-120.808716
41,7,400.899994,962.509705,855.210938,-77.124275
41,8,408.760010,-261.352783,724.417969,-79.812553
41,9,612.250000,937.104004,1580.629272,59.991600
41,10,385.980011,354.526825,1540.464233,59.991600
41,11,381.269989,225.763412,1521.966553,59.991600
41,12,711.159973,-399.056427,1514.036011,59.991600
41,15,320.450012,735.539734,308.465576,59.991600
42,6,427.809998,351.161865,113.318565,-120.808716
42,7,400.899994,962.509705,855.210938,-77.124275
42,8,408.760010,-261.352783,724.417969,-79.812553
42,9,612.250000,937.104004,1580.629272,59.991600
42,10,385.980011,354.526825,1540.464233,59.991600
42,11,381.269989,225.763412,1521.966553,59.991600
42,12,711.159973,-399.056427,1514.036011,59.991600
42,15,320.450012,735.539734,308.465576,59.991600
43,6,427.809998,351.161865,113.318565,-120.808716
43,7,400.899994,962.509705,855.210938,-77.124275
43,8,408.760010,-261.352783,724.417969,-79.812553
43,9,612.250000,937.104004,1580.629272,59.991600
43,10,385.980011,354.526825,1540.464233,59.991600
43,11,381.269989,225.763412,1521.966553,59.991600
43,12,711.159973,-399.056427,1514.036011,59.991600
43,15,320.450012,735.539734,308.465576,59.991600
44,6,427.809998,351.161865,113.318565,-120.808716
44,7,400.899994,962.509705,855.210938,-77.124275
44,8,408.760010,-261.352783,724.417969,-79.812553
44,9,612.250000,937.104004,1580.629272,59.991600
44,10,385.980011,354.526825,1540.464233,59.991600
44,11,381.269989,225.763412,1521.966553,59.991600
44,12,711.159973,-399.056427,1514.036011,59.991600
44,15,320.450012,735.539734,308.465576,59.991600
45,6,427.809998,351.161865,113.318565,-120.808716
45,7,400.899994,962.509705,855.210938,-77.124275
45,8,408.760010,-261.352783,724.417969,-79.812553
45,9,612.250000,937.104004,1580.629272,59.991600
45,10,385.980011,354.526825,1540.464233,59.991600
45,11,381.269989,225.763412,1521.966553,59.991600
45,12,711.159973,-399.056427,1514.036011,59.991600
45,15,320.450012,735.539734,308.465576,59.991600
46,6,427.809998,351.161865,113.318565,-120.808716
46,7,400.899994,962.509705,855.210938,-77.124275
46,8,408.760010,-261.352783,724.417969,-79.812553
46,9,612.250000,937.104004,1580.629272,59.991600
46,10,385.980011,354.526825,1540.464233,59.991600
46,11,381.269989,225.763412,1521.966553,59.991600
46,12,711.159973,-399.056427,1514.036011,59.991600
46,15,320.450012,735.539734,308.465576,59.991600
47,6,427.809998,351.161865,113.318565,-120.808716
47,7,400.899994,962.509705,855.210938,-77.124275
47,8,408.760010,-261.352783,724.417969,-79.812553
47,9,612.250000,937.104004,1580.629272,59.991600
47,10,385.980011,354.526825,1540.464233,59.991600
47,11,381.269989,225.763412,1521.966553,59.991600
47,12,711.159973,-399.056427,1514.036011,59.991600
47,15,320.450012,735.539734,308.465576,59.991600
48,7,401.049988,971.788879,771.254578,-77.175575
48,8,423.649994,-262.239288,606.600281,-84.905235
48,9,603.530029,922.590576,1488.378174,59.991600
48,10,453.260010,337.038574,1507.028198,59.991600
48,11,452.570007,208.271820,1489.151001,59.991600
48,12,781.049988,-458.307098,1441.320557,59.991600
49,7,401.049988,971.788879,771.254578,-77.175575
49,8,423.649994,-262.239288,606.600281,-84.905235
49,9,603.530029,922.590576,1488.378174,59.991600
49,10,453.260010,337.038574,1507.028198,59.991600
49,11,452.570007,208.271820,1489.151001,59.991600
49,12,781.049988,-458.307098,1441.320557,59.991600
50,7,401.049988,971.788879,771.254578,-77.175575
50,8,423.649994,-262.239288,606.600281,-84.905235
50,9,603.530029,922.590576,1488.378174,59.991600
50,10,453.260010,337.038574,1507.028198,59.991600
50,11,452.570007,208.271820,1489.151001,59.991600
50,12,781.049988,-458.307098,1441.320557,59.991600
51,7,401.049988,971.788879,771.254578,-77.175575
51,8,423.649994,-262.239288,606.600281,-84.905235
51,9,603.530029,922.590576,1488.378174,59.991600
51,10,453.260010,337.038574,1507.028198,59.991600
51,11,452.570007,208.271820,1489.151001,59.991600
51,12,781.049988,-458.307098,1441.320557,59.991600
52,7,401.049988,971.788879,771.254578,-77.175575
52,8,423.649994,-262.239288,606.600281,-84.905235
52,9,603.530029,922.590576,1488.378174,59.991600
52,10,453.260010,337.038574,1507.028198,59.991600
52,11,452.570007,208.271820,1489.151001,59.991600
52,12,781.049988,-458.307098,1441.320557,59.991600
53,7,401.049988,971.788879,771.254578,-77.175575
53,8,423.649994,-262.239288,606.600281,-84.905235
53,9,603.530029,922.590576,1488.378174,59.991600
53,10,453.260010,337.038574,1507.028198,59.991600
53,11,452.570007,208.271820,1489.151001,59.991600
53,12,781.049988,-458.307098,1441.320557,59.991600
54,7,401.049988,971.788879,771.254578,-77.175575
54,8,423.649994,-262.239288,606.600281,-84.905235
54,9,603.530029,922.590576,1488.378174,59.991600
54,10,453.260010,337.038574,1507.028198,59.991600
54,11,452.570007,208.271820,1489.151001,59.991600
54,12,781.049988,-458.307098,1441.320557,59.991600
55,7,401.049988,971.788879,771.254578,-77.175575
55,8,423.649994,-262.239288,606.600281,-84.905235
55,9,603.530029,922.590576,1488.378174,59.991600
55,10,453.260010,337.038574,1507.028198,59.991600
55,11,452.570007,208.271820,1489.151001,59.991600
55,12,781.049988,-458.307098,1441.320557,59.991600
56,7,401.049988,971.788879,771.254578,-77.175575
56,8,423.649994,-262.239288,606.600281,-84.905235
56,9,603.530029,922.590576,1488.378174,59.991600
56,10,453.260010,337.038574,1507.028198,59.991600
56,11,452.570007,208.271820,1489.151001,59.991600
56,12,781.049988,-458.307098,1441.320557,59.991600
57,7,401.049988,971.788879,771.254578,-77.175575
57,8,423.649994,-262.239288,606.600281,-84.905235
57,9,603.530029,922.590576,1488.378174,59.991600
57,10,453.260010,337.038574,1507.028198,59.991600
57,11,452.570007,208.271820,1489.151001,59.991600
57,12,781.049988,-458.307098,1441.320557,59.991600
58,7,401.049988,971.788879,771.254578,-77.175575
58,8,423.649994,-262.239288,606.600281,-84.905235
58,9,603.530029,922.590576,1488.378174,59.991600
58,10,453.260010,337.038574,1507.028198,59.991600
58,11,452.570007,208.271820,1489.151001,59.991600
58,12,781.049988,-458.307098,1441.320557,59.991600
59,1,555.909973,756.817505,-136.832413,-120.131111
59,3,601.190002,247.402130,-257.075226,-135.617798
59,4,870.510010,-136.773010,-467.058960,70.001297
59,5,454.109985,568.031433,-86.111435,-121.913872
59,6,459.329987,420.569366,-113.991943,-124.119942
59,7,398.989990,988.753235,684.824158,-66.461311
59,8,415.559998,-231.798676,493.690918,-72.128593
59,9,622.309998,934.910889,1417.027100,70.001297
59,10,334.179993,357.808929,1288.660767,70.001297
59,11,328.209991,230.297760,1262.650391,70.001297
59,12,679.869995,-378.018677,1256.058838,70.001297
60,1,555.909973,756.817505,-136.832413,-120.131111
60,3,601.190002,247.402130,-257.075226,-135.617798
60,4,870.510010,-136.773010,-467.058960,70.001297
60,5,454.109985,568.031433,-86.111435,-121.913872
60,6,459.329987,420.569366,-113.991943,-124.119942
60,7,398.989990,988.753235,684.824158,-66.461311
60,8,415.559998,-231.798676,493.690918,-72.128593
60,9,622.309998,934.910889,1417.027100,70.001297
60,10,334.179993,357.808929,1288.660767,70.001297
60,11,328.209991,230.297760,1262.650391,70.001297
60,12,679.869995,-378.018677,1256.058838,70.001297
61,1,555.909973,756.817505,-136.832413,-120.131111
