iso_time_utc,elapsed_s,step_idx,rover_pos_x,rover_pos_y,rover_pos_z,heading,pitch,roll,lidar_00_front_left_wheel_hub_yaw_p30_yaw_30_pitch_0_cm_is_obstacle,lidar_01_front_left_frame_yaw_p20_pitch_n20_yaw_20_pitch_-20_cm_is_obstacle,lidar_02_front_center_frame_forward_yaw_0_pitch_0_cm_is_obstacle,lidar_03_front_right_frame_yaw_n20_pitch_n20_yaw_-20_pitch_-20_cm_is_obstacle,lidar_04_front_right_wheel_hub_yaw_n30_yaw_-30_pitch_0_cm_is_obstacle,lidar_05_front_left_frame_pitch_n25_yaw_0_pitch_-25_cm_is_obstacle,lidar_06_front_right_frame_pitch_n25_yaw_0_pitch_-25_cm_is_obstacle,lidar_07_left_mid_frame_left_pitch_n20_yaw_90_pitch_-20_cm_is_obstacle,lidar_08_right_mid_frame_right_pitch_n20_yaw_-90_pitch_-20_cm_is_obstacle,lidar_09_rear_left_wheel_hub_back_yaw_p40_yaw_140_pitch_0_cm_is_obstacle,lidar_10_rear_left_frame_backward_yaw_180_pitch_0_cm_is_obstacle,lidar_11_rear_right_frame_backward_yaw_180_pitch_0_cm_is_obstacle,lidar_12_rear_right_wheel_hub_back_yaw_n40_yaw_-140_pitch_0_cm_is_obstacle,lidar_13_front_left_frame_yaw_p20_pitch_n10_yaw_20_pitch_-10_cm_is_obstacle,lidar_14_front_right_frame_yaw_n20_pitch_n10_yaw_-20_pitch_-10_cm_is_obstacle,lidar_15_front_left_wheel_hub_yaw_p15_yaw_15_pitch_0_cm_is_obstacle,lidar_16_front_right_wheel_hub_yaw_n15_yaw_-15_pitch_0_cm_is_obstacle
2026-03-22T16:42:03Z,0.012,0,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.068,1,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.122,2,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.175,3,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.227,4,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.280,5,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.333,6,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.387,7,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.440,8,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.492,9,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.545,10,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:03Z,0.599,11,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,0.651,12,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,0.703,13,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,0.755,14,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,0.810,15,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,0.869,16,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,0.922,17,-5663.899902,-10080.200195,1440.400024,179.699997,2.9,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,0.997,18,-5663.899902,-10080.200195,1440.5,179.800003,2.7,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,1.061,19,-5663.899902,-10080.200195,1440.5,179.800003,2.7,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,1.114,20,-5663.899902,-10080.200195,1440.5,179.800003,2.7,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,1.167,21,-5663.899902,-10080.200195,1440.5,179.800003,2.7,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,1.220,22,-5663.899902,-10080.200195,1440.5,179.800003,2.7,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22T16:42:04Z,1.272,23,-5663.899902,-10080.200195,1440.5,179.800003,2.7,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
