step_idx	elapsed_s	stuck_x_cm	stuck_y_cm	stuck_z_cm	hist_x_cm	hist_y_cm	hist_z_cm	hist_heading_deg	dist_from_stuck_cm	contact_side	contact_min_lidar_cm	bumper_sample_idx	bumper_lateral_offset_cm	obstacle_x_cm	obstacle_y_cm	obstacle_cell_x	obstacle_cell_y	placed
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	0	-160.000	-849.830	1129.793	81	102	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	1	-106.667	-847.318	1076.519	81	101	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	2	-53.333	-844.806	1023.244	81	100	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	3	0.000	-842.293	969.970	81	99	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	4	53.333	-839.781	916.696	81	98	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	5	106.667	-837.269	863.422	81	97	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	6	160.000	-834.756	810.148	81	96	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	right	159.520	0	-212.500	-425.302	1149.813	89	103	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	right	159.520	1	-141.667	-496.057	1146.476	88	103	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	right	159.520	2	-70.833	-566.812	1143.139	86	103	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	right	159.520	3	0.000	-637.566	1139.803	85	103	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	right	159.520	4	70.833	-708.321	1136.466	83	103	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	right	159.520	5	141.667	-779.076	1133.129	82	103	1
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	right	159.520	6	212.500	-849.830	1129.793	81	102	0
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	0	-160.000	-849.830	1129.793	81	102	0
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	1	-106.667	-847.318	1076.519	81	101	0
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	2	-53.333	-844.806	1023.244	81	100	0
313	91.160	-720.020	950.000	99.994	-630.029	979.980	89.996	-177.300	95.378	front	0.000	3	0.000	-842.293	969.970	81	99	0
