sim_time_s,pose_x_cm,pose_y_cm,pose_z_cm,yaw_deg,throttle_cmd,steer_cmd,speed_cm_s,near_rocks,near_bumps,near_craters,rock_attempts,rock_success,bump_attempts,bump_success,crater_attempts,crater_success,placed_rocks,placed_bumps,placed_craters,refresh_count,refresh_skipped_distance_gate,refresh_force,refresh_center_x_cm,refresh_center_y_cm,refresh_yaw_deg,refresh_rocks_near_before,refresh_bumps_near_before,refresh_craters_near_before,refresh_rocks_added,refresh_bumps_added,refresh_craters_added
0.7083330500000015,2017.751708984375,-5114.34912109375,342.8292541503906,67.40000707848206,0.0,0.0,21.23762220144272,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2017.75175641515,-5114.348891064488,67.40000707848206,0,0,0,0,0,0
0.8333330000000019,2018.28564453125,-5111.9833984375,355.43121337890625,67.34059134660151,0.0,0.0,21.751438081264496,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2018.285698463365,-5111.983417979689,67.34059134660151,0,0,0,0,0,0
0.9166663000000022,2018.87646484375,-5110.52001953125,357.98162841796875,67.3271953182235,0.0,0.0,21.19777202606201,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2018.8764928483465,-5110.519992158718,67.3271953182235,0,0,0,0,0,0
1.041666250000002,2020.038330078125,-5108.2470703125,353.0063781738281,67.3210181898293,0.0,0.0,20.51282525062561,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2020.0383570287065,-5108.246870572415,67.3210181898293,0,0,0,0,0,0
1.2083328500000003,2021.226806640625,-5104.390625,340.7312927246094,67.2652052177984,0.0,0.0,24.658696353435516,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2021.226810890236,-5104.390794836638,67.2652052177984,0,0,0,0,0,0
1.4583327499999978,2024.4490966796875,-5097.908203125,343.329345703125,67.27698635812254,0.0,0.0,27.02850103378296,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2024.449047598928,-5097.908313868651,67.27698635812254,0,0,0,0,0,0
1.5833326999999966,2025.853271484375,-5094.6875,347.4876403808594,67.26587878863486,0.0,0.0,27.83428728580475,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2025.8532466651736,-5094.687491512058,67.26587878863486,0,0,0,0,0,0
1.7916659499999945,2027.8280029296875,-5089.22802734375,346.6995849609375,67.24092214014483,0.0,0.0,28.773996233940125,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2027.8280484746067,-5089.228210145578,67.24092214014483,0,0,0,0,0,0
1.9583325499999928,2029.0997314453125,-5084.95947265625,343.2370910644531,67.1586806922914,0.0,0.0,30.469831824302673,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2029.099697131881,-5084.959446603045,67.1586806922914,0,0,0,0,0,0
2.166665799999995,2030.214599609375,-5079.34423828125,343.66583251953125,67.00934516403736,0.0,0.0,33.724141120910645,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2030.2146492532347,-5079.344298362389,67.00934516403736,0,0,0,0,0,0
2.3749990499999987,2031.88037109375,-5072.60009765625,346.2581787109375,66.9458772648504,0.0,0.0,36.35306358337402,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2031.8803599467421,-5072.600182167734,66.9458772648504,0,0,0,0,0,0
2.624998950000003,2035.096435546875,-5063.4599609375,344.1340026855469,66.99781199017173,0.0,0.0,38.43128979206085,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2035.0963792929995,-5063.4597958132335,66.99781199017173,0,0,0,0,0,0
2.874998850000007,2038.888671875,-5055.1923828125,343.1657409667969,67.14699630196475,0.0,0.0,32.673195004463196,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2038.8886699962213,-5055.192348760604,67.14699630196475,0,0,0,0,0,0
3.124998750000011,2041.5511474609375,-5047.59521484375,344.0351867675781,67.24789807428624,0.0,0.0,34.467607736587524,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2041.5511016475862,-5047.59507901432,67.24789807428624,0,0,0,0,0,0
3.2083320500000125,2042.3433837890625,-5044.82080078125,343.935791015625,67.2556516430187,0.0,0.0,37.72815465927124,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2042.3434121650137,-5044.820667223389,67.2556516430187,0,0,0,0,0,0
3.4583319500000167,2050.478271484375,-5018.6015625,340.8985900878906,67.63870327003764,1.0,1.0,167.7632212638855,8,2,2,14,8,2,2,5,2,8,2,2,1,1,0,2050.4782559067016,-5018.601655423704,67.63870327003764,0,0,0,0,0,0
3.708331850000021,2068.395751953125,-4960.38818359375,340.34149169921875,69.19785487725221,1.0,1.0,299.26843643188477,8,2,2,14,8,2,2,5,2,8,2,2,2,1,0,2068.395852652369,-4960.38832959391,69.19785487725221,0,0,0,0,0,0
3.9166651000000243,2075.96142578125,-4889.1953125,337.9554748535156,72.62645383843898,1.0,1.0,387.4476909637451,7,2,2,14,8,2,2,5,2,8,2,2,2,1,0,2075.9614826140537,-4889.195459544633,72.62645383843898,0,0,0,0,0,0
4.041665050000026,2078.32958984375,-4838.6171875,328.8108215332031,75.08146562911905,1.0,1.0,440.39859771728516,8,2,2,17,9,4,4,5,2,9,2,2,3,1,0,2078.3295750548914,-4838.617246562786,75.08146562911905,0,0,0,0,0,0
4.24999830000003,2082.051025390625,-4740.2978515625,309.6460266113281,78.5819870633176,1.0,1.0,534.1883659362793,8,2,2,17,9,6,6,5,2,9,2,2,4,1,0,2082.0511374210605,-4740.298017297917,78.5819870633176,0,0,0,0,0,0
4.499998200000034,2088.835693359375,-4593.416015625,293.31988525390625,81.93456327813527,1.0,1.0,648.5374450683594,8,2,2,17,9,6,6,5,2,9,2,2,5,1,0,2088.8357833875284,-4593.415848654084,81.93456327813527,0,0,0,0,0,0
4.7083314500000375,2093.147705078125,-4450.3095703125,276.4347839355469,84.66805603020113,1.0,1.0,726.6153335571289,8,2,2,17,9,8,8,5,2,9,2,2,6,1,0,2093.147764983645,-4450.309764218988,84.66805603020113,0,0,0,0,0,0
4.87499805000004,2089.18798828125,-4322.88623046875,256.30694580078125,87.77520659080601,1.0,1.0,772.8920459747314,8,2,2,17,9,8,8,5,2,9,2,2,7,1,0,2089.187917875163,-4322.886274583199,87.77520659080601,0,0,0,0,0,0
5.083331300000044,2048.15576171875,-4168.2021484375,241.29122924804688,95.85619193028501,1.0,1.0,760.1866245269775,8,2,2,17,9,10,9,5,2,9,2,2,8,1,0,2048.1558034122086,-4168.202370246749,95.85619193028501,0,0,0,0,0,0
5.291664550000047,1996.7265625,-4006.245849609375,225.46218872070312,101.4644654408392,1.0,1.0,809.4735145568848,8,2,2,24,10,14,11,9,3,10,2,3,10,1,0,1996.7265543485898,-4006.2459355923293,101.4644654408392,0,0,0,0,0,0
5.499997800000051,1981.0499267578125,-3850.917236328125,215.96038818359375,99.33288430158981,1.0,0.0,687.1741771697998,7,2,2,24,10,15,11,9,3,10,2,3,11,1,0,1981.049977961047,-3850.917214853508,99.33288430158981,0,0,0,0,0,0
5.708331050000054,1976.9783935546875,-3700.113037109375,228.12127685546875,96.49048551288433,1.0,0.0,742.352819442749,8,2,2,26,11,17,12,9,3,11,2,3,12,1,0,1976.9783622040552,-3700.112951477154,96.49048551288433,0,0,0,0,0,0
5.916664300000058,1962.4130859375,-3537.595458984375,223.53607177734375,95.40324105364763,1.0,1.0,744.7504043579102,8,2,2,28,12,20,13,9,3,12,2,3,14,0,0,1963.250669882172,-3543.810017055119,95.34158636850542,7,2,2,1,1,0
6.124997550000061,1934.4404296875,-3394.768798828125,208.1326141357422,99.02655643974532,1.0,1.0,725.811767578125,7,2,2,28,12,21,13,9,3,12,2,3,15,1,0,1934.4404742222569,-3394.7687563824375,99.02655643974532,0,0,0,0,0,0
6.3333308000000645,1884.91357421875,-3281.791748046875,215.79925537109375,102.32235676747565,1.0,1.0,330.16114234924316,8,2,2,32,13,23,14,9,3,13,2,3,16,1,0,1884.91354162319,-3281.7916513131586,102.32235676747565,0,0,0,0,0,0
6.541664050000068,1836.7701416015625,-3254.872802734375,240.9230194091797,95.93115306989647,1.0,1.0,243.00718307495117,8,2,2,32,13,23,14,9,3,13,2,3,16,1,0,1836.770158418628,-3254.8727417673654,95.93115306989647,0,0,0,0,0,0
6.791663950000072,1780.0223388671875,-3232.15869140625,234.57546997070312,88.56814046059164,0.0,1.0,236.78052425384521,8,2,2,32,13,24,14,9,3,13,2,3,17,1,0,1780.022339091699,-3232.1586037089296,88.56814046059164,0,0,0,0,0,0
7.041663850000076,1743.8829345703125,-3207.76123046875,202.6328887939453,84.35375663498743,-1.0,-1.0,61.29498481750488,8,2,2,32,13,24,14,9,3,13,2,3,17,1,0,1743.8829515849907,-3207.7611702392032,84.35375663498743,0,0,0,0,0,0
7.2916637500000805,1745.716552734375,-3218.031982421875,211.28370666503906,84.46141848135956,-1.0,-1.0,101.28687620162964,8,2,2,32,13,24,14,9,3,13,2,3,17,1,0,1745.7165692863587,-3218.0319459743964,84.46141848135956,0,0,0,0,0,0
7.416663700000083,1749.9603271484375,-3234.1748046875,218.1709442138672,83.9387591909865,-1.0,-1.0,158.97892713546753,8,2,2,32,13,24,14,9,3,13,2,3,17,1,0,1749.9603228141552,-3234.1748109728173,83.9387591909865,0,0,0,0,0,0
7.624996950000086,1742.7392578125,-3274.77734375,218.3256072998047,85.48709239949285,-1.0,-1.0,234.03644561767578,8,2,2,32,13,24,14,9,3,13,2,3,17,1,0,1742.7393022963915,-3274.777347583156,85.48709239949285,0,0,0,0,0,0
7.8333302000000895,1723.70849609375,-3326.4130859375,210.20565795898438,87.8784742022749,-1.0,-1.0,323.3020544052124,8,2,2,32,13,24,14,9,3,13,2,3,17,1,0,1723.7085389621284,-3326.4130129124196,87.8784742022749,0,0,0,0,0,0
8.041663450000089,1708.1646728515625,-3399.6494140625,209.09329223632812,90.42116990858241,-1.0,-1.0,408.936071395874,8,2,2,32,13,25,14,9,3,13,2,3,18,1,0,1708.1646497720221,-3399.649459321276,90.42116990858241,0,0,0,0,0,0
8.208330050000074,1708.48681640625,-3473.627197265625,212.45013427734375,90.61243177075124,-1.0,-1.0,474.55053329467773,8,2,2,32,13,27,15,9,3,13,2,3,19,1,0,1708.4868444956176,-3473.6272162201553,90.61243177075124,0,0,0,0,0,0
8.416663300000055,1722.553955078125,-3581.93408203125,210.58692932128906,87.56256490631313,-1.0,-1.0,532.4824333190918,9,2,2,32,13,29,16,9,3,13,2,3,20,0,0,1721.8421863488743,-3577.5275107885186,87.72923320968218,9,2,2,0,1,0
8.624996550000036,1740.60302734375,-3691.298095703125,207.4198455810547,82.4443895105153,-1.0,-1.0,564.7119522094727,8,2,2,32,13,29,16,9,3,13,2,3,20,1,0,1740.6030399379088,-3691.298000520087,82.4443895105153,0,0,0,0,0,0
8.874996450000014,1754.2481689453125,-3838.1630859375,209.5174560546875,75.00329444126444,-1.0,-1.0,588.5949611663818,8,2,2,33,14,33,18,9,3,14,2,3,22,1,0,1754.2481895964524,-3838.1631713563984,75.00329444126444,0,0,0,0,0,0
9.041663049999999,1752.5546875,-3944.1123046875,214.7400665283203,69.34338792144443,-1.0,-1.0,589.686107635498,10,2,3,33,14,35,18,9,3,14,2,3,23,0,0,1752.8749845959408,-3939.053665642506,69.62307976419231,8,2,2,0,0,0
9.291662949999976,1734.51416015625,-4090.75244140625,226.44102478027344,61.48704107721033,-1.0,-1.0,596.6120719909668,10,2,3,33,14,37,19,9,3,14,2,3,24,1,0,1734.5141095036724,-4090.752428731245,61.48704107721033,0,0,0,0,0,0
9.541662849999954,1690.355712890625,-4238.20166015625,237.55258178710938,54.85486983743863,-1.0,-1.0,613.1470203399658,10,2,3,33,14,39,21,9,3,14,2,3,25,1,0,1690.3556717023,-4238.201850817516,54.85486983743863,0,0,0,0,0,0
9.749996099999935,1639.309326171875,-4356.0341796875,239.95162963867188,49.15126222294476,-1.0,-1.0,617.4273014068604,10,2,3,33,14,41,23,9,3,14,2,3,26,1,0,1639.309354612099,-4356.034158888401,49.15126222294476,0,0,0,0,0,0
9.874996049999924,1604.4344482421875,-4426.3427734375,240.16036987304688,44.88628480336306,-1.0,1.0,624.0078926086426,10,2,3,33,14,43,25,9,3,14,2,3,27,1,0,1604.434498931369,-4426.342805605608,44.88628480336306,0,0,0,0,0,0
10.041662649999909,1553.4241943359375,-4521.76806640625,256.00750732421875,37.53618561537245,-1.0,1.0,593.0400371551514,10,2,3,33,14,45,27,9,3,14,2,3,28,0,0,1555.8763989244146,-4517.372995601057,37.94811922459421,10,2,3,0,2,0
10.291662549999886,1466.6744384765625,-4642.94970703125,285.3662414550781,25.65378549802884,-1.0,1.0,618.8861846923828,10,2,3,33,14,47,29,9,3,14,2,3,29,1,0,1466.6744622191773,-4642.949831876934,25.65378549802884,0,0,0,0,0,0
10.541662449999864,1344.850830078125,-4746.3974609375,290.91265869140625,15.546700809974032,-1.0,1.0,644.5691108703613,9,2,2,33,14,49,31,9,3,14,2,3,30,1,0,1344.8508741329586,-4746.397395654,15.546700809974032,0,0,0,0,0,0
10.708329049999849,1243.784423828125,-4795.41455078125,297.981201171875,9.9454520194774,-1.0,1.0,655.762767791748,9,2,2,33,14,51,33,9,3,14,2,3,31,1,0,1243.7843729499223,-4795.4143819577375,9.9454520194774,0,0,0,0,0,0
10.958328949999826,1081.44775390625,-4850.88037109375,314.3111267089844,1.2083746640904731,0.0,0.0,635.9984874725342,9,2,2,33,14,53,35,9,3,14,2,3,32,1,0,1081.4477784871249,-4850.880526727849,1.2083746640904731,0,0,0,0,0,0
11.208328849999804,1011.07080078125,-4893.53369140625,332.75885009765625,-6.837353014390318,0.0,0.0,98.24256300926208,9,2,2,33,14,55,37,9,3,14,2,3,33,1,0,1011.0708224042751,-4893.533720434543,-6.837353014390318,0,0,0,0,0,0
11.458328749999781,1032.14453125,-4888.61572265625,353.09710693359375,-5.463811621949337,1.0,0.0,157.08961486816406,9,2,2,33,14,55,37,9,3,14,2,3,33,1,0,1032.144555479675,-4888.615682014225,-5.463811621949337,0,0,0,0,0,0
