sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm
0,1,392.769989,-318.161865,55.601265,-54.336349
0,2,130.179993,-304.686646,350.979614,79.998901
0,3,130.630005,-376.103516,444.813324,35.320808
0,4,449.980011,-765.711792,556.872559,79.998901
0,5,180.300003,-275.817841,274.196503,3.800826
0,6,138.449997,-353.901367,407.768860,21.487404
0,7,405.820007,423.443359,202.374023,-58.799717
0,8,483.359985,-491.632874,1133.562378,-85.319954
0,9,585.650024,946.409729,674.086914,79.998901
0,10,508.260010,666.800293,1193.494629,79.998901
0,11,509.880005,576.837524,1287.352661,79.998901
0,13,691.090027,-452.269409,-225.561050,-40.007626
0,14,131.139999,-381.923279,442.161102,57.226677
0,15,355.850006,-167.226669,13.435081,79.998901
0,16,265.720001,-561.335571,538.691772,79.998901
1,1,392.769989,-318.161865,55.601265,-54.336349
1,2,130.179993,-304.686646,350.979614,79.998901
1,3,130.630005,-376.103516,444.813324,35.320808
1,4,449.980011,-765.711792,556.872559,79.998901
1,5,180.300003,-275.817841,274.196503,3.800826
1,6,138.449997,-353.901367,407.768860,21.487404
1,7,405.820007,423.443359,202.374023,-58.799717
1,8,483.359985,-491.632874,1133.562378,-85.319954
1,9,585.650024,946.409729,674.086914,79.998901
1,10,508.260010,666.800293,1193.494629,79.998901
1,11,509.880005,576.837524,1287.352661,79.998901
1,13,691.090027,-452.269409,-225.561050,-40.007626
1,14,131.139999,-381.923279,442.161102,57.226677
1,15,355.850006,-167.226669,13.435081,79.998901
1,16,265.720001,-561.335571,538.691772,79.998901
2,1,392.769989,-318.161865,55.601265,-54.336349
2,2,130.179993,-304.686646,350.979614,79.998901
2,3,130.630005,-376.103516,444.813324,35.320808
2,4,449.980011,-765.711792,556.872559,79.998901
2,5,180.300003,-275.817841,274.196503,3.800826
2,6,138.449997,-353.901367,407.768860,21.487404
2,7,405.820007,423.443359,202.374023,-58.799717
2,8,483.359985,-491.632874,1133.562378,-85.319954
2,9,585.650024,946.409729,674.086914,79.998901
2,10,508.260010,666.800293,1193.494629,79.998901
2,11,509.880005,576.837524,1287.352661,79.998901
2,13,691.090027,-452.269409,-225.561050,-40.007626
2,14,131.139999,-381.923279,442.161102,57.226677
2,15,355.850006,-167.226669,13.435081,79.998901
2,16,265.720001,-561.335571,538.691772,79.998901
3,1,392.769989,-318.161865,55.601265,-54.336349
3,2,130.179993,-304.686646,350.979614,79.998901
3,3,130.630005,-376.103516,444.813324,35.320808
3,4,449.980011,-765.711792,556.872559,79.998901
3,5,180.300003,-275.817841,274.196503,3.800826
3,6,138.449997,-353.901367,407.768860,21.487404
3,7,405.820007,423.443359,202.374023,-58.799717
3,8,483.359985,-491.632874,1133.562378,-85.319954
3,9,585.650024,946.409729,674.086914,79.998901
3,10,508.260010,666.800293,1193.494629,79.998901
3,11,509.880005,576.837524,1287.352661,79.998901
3,13,691.090027,-452.269409,-225.561050,-40.007626
3,14,131.139999,-381.923279,442.161102,57.226677
3,15,355.850006,-167.226669,13.435081,79.998901
3,16,265.720001,-561.335571,538.691772,79.998901
4,1,392.769989,-318.161865,55.601265,-54.336349
