epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss
1,0.2176722954820949,0.9779234242601147,0.07432736764917756,0.9902241367927642,0.07432736764917756
2,0.16690488344537946,0.9908344422262789,0.07260247355953267,0.9913273726999218,0.07260247355953267
3,0.15850960244620074,0.9925961447518414,0.07107980683725462,0.9908395344669855,0.07107980683725462
4,0.15344358130969607,0.9936458067253523,0.07321504804593774,0.9908451932961737,0.07107980683725462
5,0.14989415405629003,0.9943892766204828,0.07432525348744322,0.9895163115751351,0.07107980683725462
6,0.14740866142619893,0.9948997594288761,0.07420529885976403,0.9906348734780107,0.07107980683725462
7,0.14117144819902824,0.9962810888178595,0.07372499809651033,0.9914249875034189,0.07107980683725462
8,0.13966877604545963,0.9965751776709549,0.07462621710875562,0.9911057352233823,0.07107980683725462
9,0.13871061421644082,0.9967693173087931,0.07648986989668982,0.9896445783700686,0.07107980683725462
10,0.1359088891174083,0.9974269909537176,0.0765820429390256,0.9907350819115525,0.07107980683725462
11,0.1352117518221389,0.9975495849130563,0.07752301734623541,0.9901845249884466,0.07107980683725462
12,0.1348515292995339,0.997635673983229,0.07748670522078778,0.9901776872365108,0.07107980683725462
