timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
40,-2770.019500,-8070.019600,9.991600,-107.300003,-0.297375,0.954761,0.000000,-0.954761,-0.297375,0.000000,0.000000,0.000000,1.000000,0
41,-2770.019500,-8070.019600,9.991600,-107.300003,-0.297375,0.954761,0.000000,-0.954761,-0.297375,0.000000,0.000000,0.000000,1.000000,0
42,-2780.029300,-8100.000100,9.991600,-107.199997,-0.295708,0.955278,0.000000,-0.955278,-0.295708,0.000000,0.000000,0.000000,1.000000,0
43,-2780.029300,-8100.000100,9.991600,-107.199997,-0.295708,0.955278,0.000000,-0.955278,-0.295708,0.000000,0.000000,0.000000,1.000000,0
44,-2780.029300,-8100.000100,9.991600,-107.199997,-0.295708,0.955278,0.000000,-0.955278,-0.295708,0.000000,0.000000,0.000000,1.000000,0
45,-2780.029300,-8120.019600,9.991600,-105.300003,-0.263873,0.964557,0.000000,-0.964557,-0.263873,0.000000,0.000000,0.000000,1.000000,0
46,-2780.029300,-8120.019600,9.991600,-105.300003,-0.263873,0.964557,0.000000,-0.964557,-0.263873,0.000000,0.000000,0.000000,1.000000,0
47,-2780.029300,-8120.019600,9.991600,-105.300003,-0.263873,0.964557,0.000000,-0.964557,-0.263873,0.000000,0.000000,0.000000,1.000000,0
48,-2780.029300,-8129.980500,9.991600,-103.300003,-0.230050,0.973179,0.000000,-0.973179,-0.230050,0.000000,0.000000,0.000000,1.000000,0
49,-2780.029300,-8129.980500,9.991600,-103.300003,-0.230050,0.973179,0.000000,-0.973179,-0.230050,0.000000,0.000000,0.000000,1.000000,0
50,-2780.029300,-8129.980500,9.991600,-103.300003,-0.230050,0.973179,0.000000,-0.973179,-0.230050,0.000000,0.000000,0.000000,1.000000,0
51,-2780.029300,-8129.980500,9.991600,-103.300003,-0.230050,0.973179,0.000000,-0.973179,-0.230050,0.000000,0.000000,0.000000,1.000000,0
52,-2780.029300,-8139.941500,9.991600,-102.000000,-0.207912,0.978148,0.000000,-0.978148,-0.207912,0.000000,0.000000,0.000000,1.000000,0
53,-2780.029300,-8139.941500,9.991600,-102.000000,-0.207912,0.978148,0.000000,-0.978148,-0.207912,0.000000,0.000000,0.000000,1.000000,0
54,-2780.029300,-8139.941500,9.991600,-102.000000,-0.207912,0.978148,0.000000,-0.978148,-0.207912,0.000000,0.000000,0.000000,1.000000,0
55,-2770.019500,-8150.000100,9.991600,-101.000000,-0.190809,0.981627,0.000000,-0.981627,-0.190809,0.000000,0.000000,0.000000,1.000000,0
56,-2770.019500,-8150.000100,9.991600,-101.000000,-0.190809,0.981627,0.000000,-0.981627,-0.190809,0.000000,0.000000,0.000000,1.000000,0
57,-2770.019500,-8150.000100,9.991600,-101.000000,-0.190809,0.981627,0.000000,-0.981627,-0.190809,0.000000,0.000000,0.000000,1.000000,0
58,-2770.019500,-8150.000100,9.991600,-101.000000,-0.190809,0.981627,0.000000,-0.981627,-0.190809,0.000000,0.000000,0.000000,1.000000,0
59,-2770.019500,-8159.961000,9.991600,-100.500000,-0.182236,0.983255,0.000000,-0.983255,-0.182236,0.000000,0.000000,0.000000,1.000000,0
60,-2770.019500,-8159.961000,9.991600,-100.500000,-0.182236,0.983255,0.000000,-0.983255,-0.182236,0.000000,0.000000,0.000000,1.000000,0
61,-2770.019500,-8159.961000,9.991600,-100.500000,-0.182236,0.983255,0.000000,-0.983255,-0.182236,0.000000,0.000000,0.000000,1.000000,0
62,-2770.019500,-8159.961000,9.991600,-100.300003,-0.178802,0.983885,0.000000,-0.983885,-0.178802,0.000000,0.000000,0.000000,1.000000,0
63,-2770.019500,-8159.961000,9.991600,-100.300003,-0.178802,0.983885,0.000000,-0.983885,-0.178802,0.000000,0.000000,0.000000,1.000000,0
64,-2770.019500,-8159.961000,9.991600,-100.300003,-0.178802,0.983885,0.000000,-0.983885,-0.178802,0.000000,0.000000,0.000000,1.000000,0
65,-2770.019500,-8159.961000,9.991600,-100.500000,-0.182236,0.983255,0.000000,-0.983255,-0.182236,0.000000,0.000000,0.000000,1.000000,0
66,-2770.019500,-8159.961000,9.991600,-100.500000,-0.182236,0.983255,0.000000,-0.983255,-0.182236,0.000000,0.000000,0.000000,1.000000,0
67,-2770.019500,-8159.961000,9.991600,-100.500000,-0.182236,0.983255,0.000000,-0.983255,-0.182236,0.000000,0.000000,0.000000,1.000000,0
68,-2770.019500,-8150.000100,9.991600,-101.100006,-0.192522,0.981293,0.000000,-0.981293,-0.192522,0.000000,0.000000,0.000000,1.000000,0
69,-2770.019500,-8150.000100,9.991600,-101.100006,-0.192522,0.981293,0.000000,-0.981293,-0.192522,0.000000,0.000000,0.000000,1.000000,0
70,-2770.019500,-8150.000100,9.991600,-101.100006,-0.192522,0.981293,0.000000,-0.981293,-0.192522,0.000000,0.000000,0.000000,1.000000,0
71,-2770.019500,-8150.000100,9.991600,-101.100006,-0.192522,0.981293,0.000000,-0.981293,-0.192522,0.000000,0.000000,0.000000,1.000000,0
72,-2780.029300,-8150.000100,9.991600,-101.900009,-0.206204,0.978509,0.000000,-0.978509,-0.206204,0.000000,0.000000,0.000000,1.000000,0
