step_idx	elapsed_s	status	rover_x_cm	rover_y_cm	rover_z_cm	rover_heading_deg	goal_dist_cm	next_waypoint_dist_cm	next_waypoint_avg_cm	target_x_cm	target_y_cm	waypoint_idx	path_len	throttle_cmd	steering_cmd	telemetry_throttle	telemetry_steering	telemetry_speed	telemetry_brakes	telemetry_distance_traveled	new_obstacles	obstacle_total	rover_cell_x	rover_cell_y	target_cell_x	target_cell_y	viewer_scale_x	viewer_scale_y	closest_usable_lidar_cm	closest_raw_positive_lidar_cm	zero_lidar_sensor_count	usable_lidar_sensor_count
0	0.002	Replanned (649 pts)	300.000	1179.980	39.996	-89.900	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	0.000	0.000	0.000	0	24.900	1	1	104	104	97	97	6.450	6.605	0.000	255.250	1	2
1	0.459	Running	300.000	1179.980	39.996	-89.900	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.000	0	24.900	0	1	104	104	97	97	6.450	6.605	0.000	255.250	1	2
2	0.814	Running	300.000	1179.980	39.996	-89.900	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.000	0	25.000	0	1	104	104	97	97	6.450	6.605	0.000	310.430	1	2
3	1.190	Running	300.000	1179.980	39.996	-89.900	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.000	0	25.000	0	1	104	104	97	97	6.450	6.605	0.000	310.430	1	2
4	1.522	Replanned (649 pts)	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.100	0	25.000	1	2	104	104	97	97	6.450	6.605	965.570	341.450	0	1
5	1.823	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.100	0	25.000	0	2	104	104	97	97	6.450	6.605	965.570	341.450	0	1
6	2.114	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.100	0	25.000	0	2	104	104	97	97	6.450	6.605	965.570	341.450	0	1
7	2.471	Running	300.000	1179.980	49.994	-90.000	5656.854	429.289	429.289	-3.553	876.427	57	649	50	-1.000	50.000	1.000	0.100	1	25.000	0	2	104	104	97	97	6.450	6.605	965.570	341.450	0	1
8	2.821	Running	300.000	1170.020	39.996	-91.400	5649.815	493.007	436.369	-53.553	826.427	58	642	50	-1.000	50.000	1.000	1.500	1	25.100	0	2	104	103	96	96	6.450	6.605	nan	251.270	0	0
9	3.176	Running	300.000	1170.020	39.996	-91.400	5649.815	493.007	442.033	-53.553	826.427	58	642	50	-1.000	50.000	1.000	1.500	1	25.100	0	2	104	103	96	96	6.450	6.605	nan	251.270	0	0
10	3.534	Running	300.000	1170.020	39.996	-91.400	5649.815	493.007	446.667	-53.553	826.427	58	642	50	-1.000	50.000	1.000	1.500	0	25.100	0	2	104	103	96	96	6.450	6.605	nan	251.270	0	0
11	3.824	Running	289.990	1150.000	39.996	-94.600	5628.595	486.084	449.952	-63.563	816.417	57	639	50	-1.000	50.000	1.000	2.400	0	25.400	0	2	103	103	96	96	6.450	6.605	0.000	233.120	1	1
12	4.103	Running	289.990	1150.000	39.996	-94.600	5628.595	486.084	452.731	-63.563	816.417	57	639	50	-1.000	50.000	1.000	2.400	0	25.400	0	2	103	103	96	96	6.450	6.605	0.000	233.120	1	1
13	4.392	Running	289.990	1150.000	39.996	-94.600	5628.595	486.084	455.113	-63.563	816.417	57	639	50	-1.000	50.000	1.000	2.400	0	25.400	0	2	103	103	96	96	6.450	6.605	0.000	233.120	1	1
14	4.740	Running	289.990	1140.039	39.996	-95.500	5621.573	479.303	456.726	-63.563	816.417	57	639	50	-1.000	50.000	1.000	0.400	0	25.400	0	2	103	103	96	96	6.450	6.605	0.000	352.850	1	1
15	5.052	Running	289.990	1140.039	39.996	-95.500	5621.573	479.303	458.137	-63.563	816.417	57	639	50	-1.000	50.000	1.000	0.400	0	25.400	0	2	103	103	96	96	6.450	6.605	0.000	352.850	1	1
16	5.345	Running	289.990	1140.039	39.996	-95.500	5621.573	479.303	459.382	-63.563	816.417	57	639	50	-1.000	50.000	1.000	0.400	0	25.400	0	2	103	103	96	96	6.450	6.605	0.000	352.850	1	1
17	5.624	Running	279.980	1129.980	49.994	-97.000	5607.383	479.270	460.487	-73.573	806.408	56	637	50	-1.000	50.000	1.000	1.700	1	25.600	0	2	103	103	96	96	6.450	6.605	nan	250.700	0	0
18	5.902	Running	279.980	1129.980	49.994	-97.000	5607.383	479.270	461.475	-73.573	806.408	56	637	50	-1.000	50.000	1.000	1.700	1	25.600	0	2	103	103	96	96	6.450	6.605	nan	250.700	0	0
19	6.180	Running	279.980	1129.980	49.994	-97.000	5607.383	479.270	462.365	-73.573	806.408	56	637	50	-1.000	50.000	1.000	1.700	1	25.600	0	2	103	103	96	96	6.450	6.605	nan	250.700	0	0
20	6.459	Running	279.980	1129.980	49.994	-97.000	5607.383	479.270	463.170	-73.573	806.408	56	637	50	-1.000	50.000	1.000	1.700	0	25.600	0	2	103	103	96	96	6.450	6.605	nan	250.700	0	0
21	6.744	Running	269.971	1100.000	49.994	-99.200	5579.177	466.020	463.300	-83.583	796.398	55	634	50	-1.000	50.000	1.000	2.800	0	25.900	0	2	103	102	96	96	6.450	6.605	0.000	213.470	1	1
22	7.024	Running	269.971	1100.000	49.994	-99.200	5579.177	466.020	463.418	-83.583	796.398	55	634	50	-1.000	50.000	1.000	2.800	0	25.900	0	2	103	102	96	96	6.450	6.605	0.000	213.470	1	1
23	7.317	Running	269.971	1100.000	49.994	-99.200	5579.177	466.020	463.526	-83.583	796.398	55	634	50	-1.000	50.000	1.000	2.800	0	25.900	0	2	103	102	96	96	6.450	6.605	0.000	213.470	1	1
24	7.604	Running	260.010	1070.020	49.994	-103.700	5551.043	453.232	463.115	-93.544	786.437	53	631	50	-1.000	50.000	1.000	4.100	0	26.200	0	2	103	101	96	96	6.450	6.605	0.000	296.610	1	1
25	7.934	Running	260.010	1070.020	49.994	-103.700	5551.043	453.232	462.734	-93.544	786.437	53	631	50	-1.000	50.000	1.000	4.100	0	26.200	0	2	103	101	96	96	6.450	6.605	0.000	296.610	1	1
26	8.243	Running	260.010	1070.020	49.994	-103.700	5551.043	453.232	462.383	-93.544	786.437	53	631	50	-1.000	50.000	1.000	4.100	0	26.200	0	2	103	101	96	96	6.450	6.605	0.000	296.610	1	1
27	8.659	Running	219.971	1020.020	49.994	-110.800	5487.447	447.067	461.836	-133.583	746.398	52	623	50	-0.899	50.000	1.000	6.300	1	26.800	0	2	102	100	95	95	6.450	6.605	0.000	209.760	1	1
28	8.990	Running	219.971	1020.020	49.994	-110.800	5487.447	447.067	461.326	-133.583	746.398	52	623	50	-0.899	50.000	0.899	6.300	1	26.800	0	2	102	100	95	95	6.450	6.605	0.000	209.760	1	1
29	9.323	Running	219.971	1020.020	49.994	-110.800	5487.447	447.067	460.851	-133.583	746.398	52	623	50	-0.899	50.000	0.899	6.300	1	26.800	0	2	102	100	95	95	6.450	6.605	0.000	209.760	1	1
30	9.676	Running	210.010	990.039	49.994	-114.800	5459.370	435.102	460.020	-143.544	736.437	50	620	50	-0.844	50.000	0.899	4.700	0	27.200	0	2	102	100	95	95	6.450	6.605	nan	268.650	0	0
31	10.023	Running	210.010	990.039	49.994	-114.800	5459.370	435.102	459.242	-143.544	736.437	50	620	50	-0.844	50.000	0.844	4.700	0	27.200	0	2	102	100	95	95	6.450	6.605	nan	268.650	0	0
32	10.350	Running	210.010	990.039	49.994	-114.800	5459.370	435.102	458.510	-143.544	736.437	50	620	50	-0.844	50.000	0.844	4.700	0	27.200	0	2	102	100	95	95	6.450	6.605	nan	268.650	0	0
33	10.735	Running	179.980	970.020	59.992	-118.400	5423.896	441.012	457.996	-173.573	706.408	51	616	50	-0.711	50.000	0.844	5.100	0	27.500	0	2	101	99	94	94	6.450	6.605	0.000	333.570	1	1
34	11.071	Running	179.980	970.020	59.992	-118.400	5423.896	441.012	457.510	-173.573	706.408	51	616	50	-0.711	50.000	0.711	5.100	0	27.500	0	2	101	99	94	94	6.450	6.605	0.000	333.570	1	1
35	11.379	Running	179.980	970.020	59.992	-118.400	5423.896	441.012	457.052	-173.573	706.408	51	616	50	-0.711	50.000	0.711	5.100	0	27.500	0	2	101	99	94	94	6.450	6.605	0.000	333.570	1	1
36	11.687	Running	150.000	920.020	59.992	-123.000	5367.531	429.345	456.303	-203.553	676.427	50	610	50	-0.641	50.000	0.711	6.300	1	28.000	0	2	101	98	93	93	6.450	6.605	0.000	214.650	1	1
37	12.018	Running	150.000	920.020	59.992	-123.000	5367.531	429.345	455.594	-203.553	676.427	50	610	50	-0.641	50.000	0.641	6.300	1	28.000	0	2	101	98	93	93	6.450	6.605	0.000	214.650	1	1
38	12.382	Running	150.000	920.020	59.992	-123.000	5367.531	429.345	454.921	-203.553	676.427	50	610	50	-0.641	50.000	0.641	6.300	1	28.000	0	2	101	98	93	93	6.450	6.605	0.000	214.650	1	1
39	12.779	Running	119.971	900.000	59.992	-125.800	5332.047	435.102	454.425	-233.583	646.398	51	606	50	-0.530	50.000	0.641	4.500	0	28.500	0	2	100	98	93	93	6.450	6.605	0.000	276.600	1	1
40	13.108	Running	119.971	900.000	59.992	-125.800	5332.047	435.102	453.954	-233.583	646.398	51	606	50	-0.530	50.000	0.530	4.500	0	28.500	0	2	100	98	93	93	6.450	6.605	0.000	276.600	1	1
41	13.491	Running	119.971	900.000	59.992	-125.800	5332.047	435.102	453.505	-233.583	646.398	51	606	50	-0.530	50.000	0.530	4.500	0	28.500	0	2	100	98	93	93	6.450	6.605	0.000	276.600	1	1
42	13.844	Running	89.990	860.058	59.992	-128.100	5282.708	429.373	452.944	-263.563	616.417	50	600	50	-0.495	50.000	0.530	5.500	0	28.900	0	2	99	97	92	92	6.450	6.605	nan	271.700	0	0
43	14.177	Running	89.990	860.058	59.992	-128.100	5282.708	429.373	452.408	-263.563	616.417	50	600	50	-0.495	50.000	0.495	5.500	0	28.900	0	2	99	97	92	92	6.450	6.605	nan	271.700	0	0
44	14.476	Running	89.990	860.058	59.992	-128.100	5282.708	429.373	451.896	-263.563	616.417	50	600	50	-0.495	50.000	0.495	5.500	1	28.900	0	2	99	97	92	92	6.450	6.605	nan	271.700	0	0
45	14.764	Running	60.010	829.980	70.001	-129.600	5240.246	429.317	451.405	-293.544	586.437	49	595	50	-0.453	50.000	0.495	6.800	1	29.300	0	2	99	97	92	92	6.450	6.605	nan	164.480	0	0
46	15.092	Running	60.010	829.980	70.001	-129.600	5240.246	429.317	450.935	-293.544	586.437	49	595	50	-0.453	50.000	0.453	6.800	1	29.300	0	2	99	97	92	92	6.450	6.605	nan	164.480	0	0
47	15.455	Running	60.010	829.980	70.001	-129.600	5240.246	429.317	450.485	-293.544	586.437	49	595	50	-0.453	50.000	0.453	6.800	1	29.300	0	2	99	97	92	92	6.450	6.605	nan	164.480	0	0
48	15.753	Running	10.010	779.980	70.001	-131.600	5169.543	429.317	450.053	-343.544	536.437	49	587	50	-0.395	50.000	0.453	5.300	0	30.000	0	2	98	96	91	91	6.450	6.605	nan	232.670	0	0
49	16.044	Running	10.010	779.980	70.001	-131.600	5169.543	429.317	449.638	-343.544	536.437	49	587	50	-0.395	50.000	0.395	5.300	0	30.000	0	2	98	96	91	91	6.450	6.605	nan	232.670	0	0
50	16.332	Running	10.010	779.980	70.001	-131.600	5169.543	429.317	449.240	-343.544	536.437	49	587	50	-0.395	50.000	0.395	5.300	0	30.000	0	2	98	96	91	91	6.450	6.605	nan	232.670	0	0
51	16.622	Replanned (634 pts)	-20.020	750.000	79.999	-133.000	5127.114	469.631	449.632	-414.403	1004.980	51	634	50	-1.000	50.000	0.395	5.700	0	30.500	2	4	97	95	89	100	6.450	6.605	186.200	168.210	0	2
52	16.954	Running	-20.020	750.000	79.999	-133.000	5127.114	469.631	450.009	-414.403	1004.980	51	634	50	-1.000	50.000	1.000	5.700	0	30.500	0	4	97	95	89	100	6.450	6.605	186.200	168.210	0	2
53	17.258	Running	-20.020	750.000	79.999	-133.000	5127.114	469.631	450.373	-414.403	1004.980	51	634	50	-1.000	50.000	1.000	5.700	0	30.500	0	4	97	95	89	100	6.450	6.605	186.200	168.210	0	2
54	17.566	Replanned (630 pts)	-60.010	720.020	79.999	-134.000	5077.539	483.200	450.970	-450.239	1004.980	51	630	50	-1.000	50.000	1.000	-1.100	1	31.100	1	5	96	94	88	100	6.450	6.605	0.000	120.860	1	4
55	17.880	Running	-60.010	720.020	79.999	-134.000	5077.539	483.200	451.545	-450.239	1004.980	51	630	50	-1.000	50.000	1.000	-1.100	1	31.100	0	5	96	94	88	100	6.450	6.605	0.000	120.860	1	4
56	18.234	Running	-60.010	720.020	79.999	-134.000	5077.539	483.200	452.101	-450.239	1004.980	51	630	50	-1.000	50.000	1.000	-1.100	1	31.100	0	5	96	94	88	100	6.450	6.605	0.000	120.860	1	4
57	18.649	Running	-50.000	729.980	79.999	-132.400	5091.660	474.038	452.479	-436.118	1004.980	51	631	50	-1.000	50.000	1.000	-0.100	0	31.200	0	5	97	95	89	100	6.450	6.605	0.000	130.530	1	4
58	18.990	Running	-50.000	729.980	79.999	-132.400	5091.660	474.038	452.844	-436.118	1004.980	51	631	50	-1.000	50.000	1.000	-0.100	0	31.200	0	5	97	95	89	100	6.450	6.605	0.000	130.530	1	4
59	19.293	Running	-50.000	729.980	79.999	-132.400	5091.660	474.038	453.197	-436.118	1004.980	51	631	50	-1.000	50.000	1.000	-0.100	0	31.200	0	5	97	95	89	100	6.450	6.605	0.000	130.530	1	4
60	19.581	Replanned (642 pts)	-60.010	720.020	79.999	-133.400	5077.539	483.200	453.689	-450.239	1004.980	51	642	50	-1.000	50.000	1.000	1.000	0	31.300	1	6	96	94	88	100	6.450	6.605	0.000	124.910	1	5
61	19.903	Obstacle hits: +1	-60.010	720.020	79.999	-133.400	5077.539	483.200	454.165	-450.239	1004.980	51	642	50	-1.000	50.000	1.000	1.000	0	31.300	1	7	96	94	88	100	6.450	6.605	0.000	124.910	1	6
62	20.202	Running	-60.010	720.020	79.999	-133.400	5077.539	483.200	454.626	-450.239	1004.980	51	642	50	-1.000	50.000	1.000	1.000	0	31.300	0	7	96	94	88	100	6.450	6.605	0.000	124.910	1	6
63	20.512	Replanned (643 pts)	-70.020	720.020	79.999	-133.800	5070.368	481.069	455.039	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.100	1	31.300	2	9	96	94	88	100	6.450	6.605	106.458	0.020	0	5
64	20.844	Running	-70.020	720.020	79.999	-133.800	5070.368	481.069	455.440	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.100	1	31.300	0	9	96	94	88	100	6.450	6.605	106.458	0.020	0	5
65	21.161	Running	-70.020	720.020	79.999	-133.800	5070.368	481.069	455.828	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.100	1	31.300	0	9	96	94	88	100	6.450	6.605	106.458	0.020	0	5
66	21.465	Running	-70.020	720.020	79.999	-133.800	5070.368	481.069	456.205	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.100	0	31.300	0	9	96	94	88	100	6.450	6.605	106.458	0.020	0	5
67	21.752	Replanned (643 pts)	-70.020	720.020	79.999	-133.700	5070.368	481.069	456.570	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	1	10	96	94	88	100	6.450	6.605	0.000	105.860	1	7
68	22.114	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	456.925	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	105.860	1	7
69	22.469	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	457.270	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	105.860	1	7
70	22.787	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	457.606	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	105.790	1	7
71	23.120	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	457.931	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	105.790	1	7
72	23.496	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	458.248	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	1	31.400	0	10	96	94	88	100	6.450	6.605	0.000	105.790	1	7
73	23.848	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	458.557	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	1	31.400	0	10	96	94	88	100	6.450	6.605	105.453	107.080	0	6
74	24.210	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	458.857	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	1	31.400	0	10	96	94	88	100	6.450	6.605	105.453	107.080	0	6
75	24.564	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	459.149	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	107.210	1	7
76	24.909	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	459.434	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	107.210	1	7
77	25.195	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	459.711	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	107.210	1	7
78	25.486	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	459.982	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	107.210	1	7
79	25.771	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	460.245	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	105.460	1	7
80	26.065	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	460.502	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	105.460	1	7
81	26.349	Running	-70.020	720.020	79.999	-133.700	5070.368	481.069	460.753	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.400	0	10	96	94	88	100	6.450	6.605	0.000	105.460	1	7
82	26.636	Running	-70.020	720.020	79.999	-133.600	5070.368	481.069	460.998	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	1	31.500	0	10	96	94	88	100	6.450	6.605	0.000	105.500	1	7
83	26.925	Running	-70.020	720.020	79.999	-133.600	5070.368	481.069	461.237	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	1	31.500	0	10	96	94	88	100	6.450	6.605	0.000	105.500	1	7
84	27.213	Running	-70.020	720.020	79.999	-133.600	5070.368	481.069	461.470	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	1	31.500	0	10	96	94	88	100	6.450	6.605	0.000	105.500	1	7
85	27.495	Running	-70.020	720.020	79.999	-133.600	5070.368	481.069	461.698	-457.608	1004.980	51	643	50	-1.000	50.000	1.000	0.000	0	31.500	0	10	96	94	88	100	6.450	6.605	0.000	105.500	1	7
