step_idx	elapsed_s	attempted	raw_path_points	follow_path_points	status
0	0.002	1	83	649	Replanned (649 pts)
1	0.459	0	0	0	Running
2	0.814	0	0	0	Running
3	1.190	0	0	0	Running
4	1.522	1	83	649	Replanned (649 pts)
5	1.823	0	0	0	Running
6	2.114	0	0	0	Running
7	2.471	0	0	0	Running
8	2.821	0	0	0	Running
9	3.176	0	0	0	Running
10	3.534	0	0	0	Running
11	3.824	0	0	0	Running
12	4.103	0	0	0	Running
13	4.392	0	0	0	Running
14	4.740	0	0	0	Running
15	5.052	0	0	0	Running
16	5.345	0	0	0	Running
17	5.624	0	0	0	Running
18	5.902	0	0	0	Running
19	6.180	0	0	0	Running
20	6.459	0	0	0	Running
21	6.744	0	0	0	Running
22	7.024	0	0	0	Running
23	7.317	0	0	0	Running
24	7.604	0	0	0	Running
25	7.934	0	0	0	Running
26	8.243	0	0	0	Running
27	8.659	0	0	0	Running
28	8.990	0	0	0	Running
29	9.323	0	0	0	Running
30	9.676	0	0	0	Running
31	10.023	0	0	0	Running
32	10.350	0	0	0	Running
33	10.735	0	0	0	Running
34	11.071	0	0	0	Running
35	11.379	0	0	0	Running
36	11.687	0	0	0	Running
37	12.018	0	0	0	Running
38	12.382	0	0	0	Running
39	12.779	0	0	0	Running
40	13.108	0	0	0	Running
41	13.491	0	0	0	Running
42	13.844	0	0	0	Running
43	14.177	0	0	0	Running
44	14.476	0	0	0	Running
45	14.764	0	0	0	Running
46	15.092	0	0	0	Running
47	15.455	0	0	0	Running
48	15.753	0	0	0	Running
49	16.044	0	0	0	Running
50	16.332	0	0	0	Running
51	16.622	1	83	634	Replanned (634 pts)
52	16.954	0	0	0	Running
53	17.258	0	0	0	Running
54	17.566	1	81	630	Replanned (630 pts)
55	17.880	0	0	0	Running
56	18.234	0	0	0	Running
57	18.649	0	0	0	Running
58	18.990	0	0	0	Running
59	19.293	0	0	0	Running
60	19.581	1	87	642	Replanned (642 pts)
61	19.903	0	0	0	Obstacle hits: +1
62	20.202	0	0	0	Running
63	20.512	1	88	643	Replanned (643 pts)
64	20.844	0	0	0	Running
65	21.161	0	0	0	Running
66	21.465	0	0	0	Running
67	21.752	1	88	643	Replanned (643 pts)
68	22.114	0	0	0	Running
69	22.469	0	0	0	Running
70	22.787	0	0	0	Running
71	23.120	0	0	0	Running
72	23.496	0	0	0	Running
73	23.848	0	0	0	Running
74	24.210	0	0	0	Running
75	24.564	0	0	0	Running
76	24.909	0	0	0	Running
77	25.195	0	0	0	Running
78	25.486	0	0	0	Running
79	25.771	0	0	0	Running
80	26.065	0	0	0	Running
81	26.349	0	0	0	Running
82	26.636	0	0	0	Running
83	26.925	0	0	0	Running
84	27.213	0	0	0	Running
85	27.495	0	0	0	Running
86	27.787	0	0	0	Running
