step_idx	elapsed_s	sensor_idx	sensor_label	sensor_enabled	raw_cm	raw_is_zero	valid_range_gt0	valid_range_ge0	mask_hit	pitch_scale	planar_hit_cm	hit_world_z_cm	low_clearance_hit	chunk_name	chunk_hit_count	chunk_threshold_met	hit_dist_from_rover_cm	within_local_radius	usable_for_mark	placed	usable_reason	map_origin	sensor_local_x_cm	sensor_local_y_cm	sensor_yaw_deg	sensor_pitch_deg	sensor_world_x_cm	sensor_world_y_cm	sensor_cell_x	sensor_cell_y	hit_world_x_cm	hit_world_y_cm	hit_cell_x	hit_cell_y	center_hit_world_x_cm	center_hit_world_y_cm	center_hit_cell_x	center_hit_cell_y
0	0.002	0	front_left_wheel_hub_yaw_p30	1	0.000	1	0	1	0	1.000	0.000	39.996	0	front	2	1	0.000	1	1	0	inside_rover_bbox	center	250.000	245.000	30.000	0.000	545.436	930.408	108	99	300.000	1179.980	104	104	300.000	1179.980	104	104
0	0.002	1	front_left_frame_yaw_p20_pitch_n20	0	517.330	0	1	1	0	0.940	486.131	-136.941	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	20.000	-20.000	375.567	855.112	105	97	nan	nan	-1	-1	467.064	723.457	107	94
0	0.002	2	front_center_frame_forward	1	-1.000	0	0	0	0	1.000	nan	nan	0	front	2	1	nan	0	0	0	invalid_range	center	325.000	0.000	0.000	0.000	300.567	854.981	104	97	nan	nan	-1	-1	nan	nan	-1	-1
0	0.002	3	front_right_frame_yaw_n20_pitch_n20	0	568.030	0	1	1	0	0.940	533.774	-154.281	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	-20.000	-20.000	225.567	854.850	102	97	nan	nan	-1	-1	118.314	678.079	100	93
0	0.002	4	front_right_wheel_hub_yaw_n30	1	903.070	0	1	1	0	1.000	903.070	39.996	0	front	2	1	nan	0	0	0	masked_non_contact	center	250.000	-245.000	-30.000	0.000	55.437	929.553	99	98	nan	nan	-1	-1	-150.169	397.112	94	88
0	0.002	5	front_left_frame_pitch_n25	0	427.940	0	1	1	0	0.906	387.845	-140.859	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	75.000	0.000	-25.000	375.567	855.112	105	97	nan	nan	-1	-1	300.677	792.136	104	96
0	0.002	6	front_right_frame_pitch_n25	0	439.780	0	1	1	0	0.906	398.576	-145.863	1	front	2	1	nan	0	0	0	sensor_disabled	center	325.000	-75.000	0.000	-25.000	225.567	854.850	102	97	nan	nan	-1	-1	300.696	781.405	104	96
0	0.002	7	left_mid_frame_left_pitch_n20	0	390.900	0	1	1	0	0.940	367.326	-93.699	1	left	0	0	nan	0	0	0	sensor_disabled	center	40.000	235.000	90.000	-20.000	535.069	1140.391	108	103	nan	nan	-1	-1	667.325	1180.621	111	104
0	0.002	8	right_mid_frame_right_pitch_n20	0	391.490	0	1	1	0	0.940	367.880	-93.901	1	right	0	0	nan	0	0	0	sensor_disabled	center	40.000	-235.000	-90.000	-20.000	65.070	1139.570	99	103	nan	nan	-1	-1	-67.880	1179.338	96	103
0	0.002	9	rear_left_wheel_hub_back_yaw_p40	1	620.470	0	1	1	0	1.000	620.470	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	270.000	140.000	0.000	569.624	1395.451	109	108	nan	nan	-1	-1	698.000	1655.983	111	113
0	0.002	10	rear_left_frame_backward	1	263.750	0	1	1	0	1.000	263.750	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	80.000	180.000	0.000	379.441	1500.120	105	110	nan	nan	-1	-1	299.540	1443.730	103	109
0	0.002	11	rear_right_frame_backward	1	255.250	0	1	1	0	1.000	255.250	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-320.000	-50.000	180.000	0.000	249.442	1499.893	102	110	nan	nan	-1	-1	299.555	1435.230	103	109
0	0.002	12	rear_right_wheel_hub_back_yaw_n40	1	607.350	0	1	1	0	1.000	607.350	39.996	0	rear	0	0	nan	0	0	0	masked_non_contact	center	-215.000	-215.000	-140.000	0.000	84.625	1394.605	99	108	nan	nan	-1	-1	-91.208	1644.555	96	113
